player_id,team_id,season,shots_off_target,long_passes_unsuccessful,successful_passes_total,foul_attempted_tackle,appearances,launches_unsuccessful,tackled,passes_own_half_unsuccessful,duels_lost,throw_ins_to_own_player,minutes,passes_opposition_half_unsuccessful,loss_of_possession_total,throw_ins_to_opposition_player,crossses_corners_unsuccessful,passess_leftside,key_passes,goals_conceded_penalty,corners_won,ground_duels_won,crosses_corners_successful,clearances_total,passes_total,duels_won,passess_opp_half_successful,duels_aerial,goals_conceded_inside_box,dribbles_unsuccessful,goals_conceded,crosses_open_play_successful,passes_unsuccessful,aerial_duels_lost,passes_own_half_successful,duels_ground,games_played,passes_rightside,passes_forward,touches_total_opposition_box,fouls_conceded_total,tackles_total,open_play_crosses_unsuccessful,shots_total,tackles_lost,passes_open_play,short_passes_unsuccessful,duels_ground_lost,touches,interceptions,total_fouls_won,passes_backwards,short_passes_successful,duels,recoveries,open_play_passes_successful,sub_on,goals_win,tackles_won,assists,corners_into_box_unsuccessful,starts,assists_intentional,shots_on_target,lay_offs_successful,launches_successful,blocks,long_passess_successful,lay_offs_unsuccessful,goals_conceded_outside_box,offsides,yellow_cards,shots_blocked,clean_sheets,dribbles_successful,sub_off,corners_into_box_successful,aerial_duels_won,corners_taken,handballs_conceded,saves_made,saves_made_parried,goalkicks_total,gk_distribution_successful,saves_made_inside_box,catches,gk_smother,saves_made_outside_box,gk_distribution_unsuccessful,punches,goals_head,goals_inside_box,goals_left_foot,goals,goals_home,goals_away,penalties_conceded,goals_right_foot,attempts_from_set_pieces,through_balls,woodwork_hit,tackle_last_man,tackles_last_man,own_goals,penalties_faced,saves_made_caught,penalties_taken,penalty_goals,penalties_won,last_updated
635,2,2023,4,4,38,1,10,2,2,12,6,8,131,13,35,1,3,6,1,1,2,3,1,5,60,3,22,2,3,1,3,1,22,2,17,7,10,20,23,4,1,1,3,4,1,60,18,4,102,2,2,11,38,9,13,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
743,2,2023,2,15,285,8,12,6,12,18,48,0,734,77,122,0,29,88,6,1,1,38,12,7,351,41,115,10,14,7,17,1,66,7,182,79,12,99,92,1,11,21,9,3,8,339,51,41,516,12,9,72,264,89,63,274,4,0,13,3,17,8,3,1,4,2,2,21,1,3,1,3,1,2,8,2,9,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
716,2,2023,3,9,91,3,13,5,11,11,23,13,351,35,69,6,10,48,5,0,8,21,4,6,127,24,49,9,8,6,9,4,36,6,46,38,13,5,48,10,4,9,10,3,2,125,27,17,233,6,7,26,86,47,12,89,11,0,7,0,0,2,0,0,0,1,0,5,0,1,3,2,2,0,5,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
325,2,2023,0,27,41,0,2,10,0,16,0,0,180,13,29,0,0,9,0,0,0,0,0,9,70,3,7,3,0,0,0,0,29,0,34,0,2,7,54,0,0,0,0,0,0,38,2,0,96,0,0,0,22,3,20,24,0,0,0,0,0,2,0,0,0,2,0,19,0,0,0,0,0,2,0,0,0,3,0,0,8,1,18,15,4,3,2,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
633,2,2023,7,6,113,3,14,3,38,17,70,5,753,50,137,0,1,24,7,1,5,51,2,12,179,83,56,45,15,11,17,2,66,13,59,108,14,42,58,20,10,18,1,10,8,170,60,57,379,7,22,55,111,153,25,104,6,1,10,0,0,8,0,3,8,1,1,2,0,2,0,2,4,2,13,6,0,32,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
391,2,2023,1,55,639,3,15,18,4,75,21,2,1344,59,147,3,1,161,1,3,2,25,0,78,772,43,134,27,28,3,32,0,133,9,505,37,15,228,336,0,4,17,0,1,6,734,78,12,945,14,5,47,586,64,114,613,0,0,11,0,0,15,0,0,0,4,18,53,0,4,0,1,0,3,3,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
745,2,2023,0,1,1,0,1,1,0,1,1,1,6,1,3,0,0,0,0,1,0,0,0,0,3,0,0,1,1,0,1,0,2,1,1,0,1,1,2,0,0,0,0,0,0,3,1,0,7,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
630,2,2023,0,4,36,1,4,2,4,1,9,0,135,22,29,0,7,10,1,0,0,4,2,2,52,5,20,3,0,2,0,0,16,2,18,11,4,11,24,0,1,2,2,0,0,52,12,7,82,4,1,7,35,14,12,36,3,0,2,0,4,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
627,2,2023,3,5,60,2,5,4,17,8,24,7,257,14,50,0,5,12,3,0,1,8,0,5,77,8,29,3,3,8,5,0,17,3,31,29,5,22,22,13,2,6,5,5,2,77,12,21,159,1,0,21,59,32,20,60,2,0,4,1,0,3,1,2,1,0,0,1,0,2,1,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
744,2,2023,8,9,120,7,9,1,16,12,35,1,678,39,86,1,10,21,6,4,6,29,2,1,161,33,70,10,19,8,21,0,41,6,52,58,9,66,25,28,10,7,5,17,2,160,32,29,283,2,11,49,116,68,20,119,1,1,5,0,4,8,0,9,6,0,0,4,2,2,1,1,6,0,11,4,2,4,6,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,0,2,1,2,3,0,0,0,0,0,0,0,0,2023-07-10
