player_id,team_id,season,successful_passes_total,crosses_open_play_successful,duels_ground,duels_lost,crosses_corners_successful,aerial_duels_won,passes_backwards,goals,passes_forward,sub_off,shots_on_target,shots_off_target,dribbles_successful,passes_total,shots_total,tackles_total,passes_unsuccessful,goals_conceded,short_passes_unsuccessful,through_balls,tackles_lost,loss_of_possession_total,duels_won,recoveries,total_fouls_won,touches,open_play_passes_successful,passes_own_half_successful,throw_ins_to_opposition_player,sub_on,assists,goals_conceded_inside_box,fouls_conceded_total,foul_attempted_tackle,goals_conceded_penalty,shots_blocked,launches_unsuccessful,long_passess_successful,offsides,crossses_corners_unsuccessful,passess_leftside,tackles_won,appearances,assists_intentional,key_passes,corners_won,duels_ground_lost,passess_opp_half_successful,short_passes_successful,dribbles_unsuccessful,interceptions,ground_duels_won,passes_open_play,throw_ins_to_own_player,aerial_duels_lost,clearances_total,passes_opposition_half_unsuccessful,minutes,long_passes_unsuccessful,tackled,goals_inside_box,starts,duels,touches_total_opposition_box,games_played,open_play_crosses_unsuccessful,goals_conceded_outside_box,passes_own_half_unsuccessful,passes_rightside,goals_left_foot,duels_aerial,goals_home,goals_away,goals_win,lay_offs_successful,yellow_cards,launches_successful,clean_sheets,goals_right_foot,gk_distribution_unsuccessful,saves_made,catches,saves_made_caught,goalkicks_total,gk_distribution_successful,punches,saves_made_parried,saves_made_outside_box,penalties_faced,saves_made_inside_box,gk_smother,goal_line_clearances,blocks,corners_into_box_successful,corners_into_box_unsuccessful,corners_taken,red_cards_total,own_goals,red_cards_straight,penalties_won,penalties_taken,penalty_goals,lay_offs_unsuccessful,goals_head,handballs_conceded,woodwork_hit,penalties_conceded,attempts_from_set_pieces,last_updated
541,4,2023,56,3,61,49,3,12,20,1,36,7,6,11,9,99,17,6,43,5,34,1,1,127,32,29,5,257,56,17,1,4,1,4,6,3,1,4,3,3,1,18,30,5,11,1,7,8,41,42,53,15,1,20,99,3,8,3,52,567,9,30,1,7,81,35,11,18,1,9,13,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
638,4,2023,187,5,68,46,5,9,66,1,99,6,6,7,11,284,13,16,97,7,73,4,2,163,40,58,4,432,186,85,0,1,0,5,9,5,1,5,10,15,3,22,53,14,11,0,7,8,37,107,172,8,7,31,282,1,9,1,92,811,24,20,1,10,86,24,11,21,2,27,66,0,18,1,0,0,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
279,4,2023,266,0,3,1,0,1,1,0,271,0,0,0,0,450,0,0,184,12,11,0,0,186,3,121,2,585,164,232,0,0,0,10,0,0,1,0,49,107,0,0,94,0,15,0,0,0,1,34,159,0,0,2,238,0,0,12,94,1312,173,0,0,15,4,0,15,0,2,90,84,0,1,0,0,0,0,0,13,6,0,57,48,8,2,133,137,6,11,13,1,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
106,4,2023,334,1,60,37,1,6,53,0,265,1,1,1,4,476,2,26,142,10,89,1,5,173,45,76,9,734,327,206,16,1,0,8,12,12,1,0,18,23,0,6,30,21,12,0,5,4,21,129,311,2,26,39,469,108,16,20,89,989,53,4,0,11,82,3,12,6,2,59,128,0,22,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
790,4,2023,9,0,7,5,0,1,3,0,7,0,0,1,1,15,1,1,6,0,3,0,0,13,4,5,1,27,9,4,1,3,0,0,1,1,0,0,2,1,0,0,3,1,3,0,0,0,4,5,8,0,0,3,15,0,1,0,3,12,3,3,0,0,9,0,3,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
221,4,2023,420,3,109,55,10,14,94,0,251,1,0,5,13,581,5,41,161,12,125,0,10,282,81,124,13,1066,410,246,35,0,1,10,14,9,1,3,12,20,0,41,214,31,15,1,10,3,42,184,400,11,33,67,569,153,13,31,145,1304,36,19,0,15,136,7,15,18,2,57,22,0,27,0,0,0,1,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,23,34,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
636,4,2023,46,3,16,11,4,0,14,0,26,2,1,2,1,71,3,5,25,2,20,1,3,55,8,11,2,133,46,19,0,7,0,1,0,0,0,0,3,1,4,15,8,2,9,0,4,3,8,31,45,2,1,8,71,4,3,1,37,286,5,6,0,2,19,17,9,10,1,3,23,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
55,4,2023,2,0,0,0,0,2,1,0,3,0,0,0,0,5,0,0,3,0,3,0,0,5,2,2,0,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,5,0,0,0,2,11,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
488,4,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
789,4,2023,146,1,35,21,1,5,18,1,79,6,2,0,2,218,2,11,72,4,48,0,5,87,27,50,9,300,145,82,0,0,0,2,3,2,0,3,7,19,0,1,61,6,8,0,3,1,13,65,127,1,10,22,217,0,8,7,55,571,24,6,1,8,48,5,8,1,2,18,60,0,13,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
