player_id,team_id,season,duels,long_passess_successful,aerial_duels_won,duels_won,games_played,duels_aerial,clearances_total,passes_total,duels_lost,blocks,goals_conceded,passes_rightside,goals_conceded_inside_box,dribbles_successful,launches_successful,touches_total_opposition_box,duels_ground,shots_total,minutes,tackled,sub_off,passes_forward,appearances,passes_backwards,launches_unsuccessful,loss_of_possession_total,successful_passes_total,open_play_passes_successful,total_fouls_won,goals_conceded_penalty,passess_opp_half_successful,fouls_conceded_total,tackles_won,foul_attempted_tackle,touches,passes_own_half_successful,tackles_total,long_passes_unsuccessful,passes_open_play,starts,passes_own_half_unsuccessful,interceptions,short_passes_unsuccessful,short_passes_successful,passes_opposition_half_unsuccessful,goals_conceded_outside_box,sub_on,yellow_cards,passess_leftside,tackles_lost,recoveries,aerial_duels_lost,passes_unsuccessful,shots_off_target,ground_duels_won,duels_ground_lost,goals_win,dribbles_unsuccessful,key_passes,throw_ins_to_own_player,shots_blocked,crosses_corners_successful,handballs_conceded,lay_offs_unsuccessful,penalties_taken,crosses_open_play_successful,penalty_goals,offsides,goals_right_foot,lay_offs_successful,clean_sheets,goals,corners_won,open_play_crosses_unsuccessful,goals_inside_box,throw_ins_to_opposition_player,crossses_corners_unsuccessful,shots_on_target,through_balls,goals_home,goals_away,assists_intentional,assists,saves_made_outside_box,own_goals,saves_made_inside_box,gk_distribution_unsuccessful,goalkicks_total,gk_distribution_successful,saves_made,catches,saves_made_parried,punches,penalties_faced,penalties_conceded,corners_taken,corners_into_box_unsuccessful,goals_head,goals_left_foot,woodwork_hit,corners_into_box_successful,attempts_from_set_pieces,saves_made_caught,gk_smother,goal_line_clearances,penalties_won,goals_outside_box,last_updated
365,13,2023,23,10,6,15,6,7,22,161,8,8,5,41,2,2,1,2,16,2,378,2,4,69,6,6,4,35,130,123,3,1,41,2,3,1,216,89,4,7,153,5,16,5,24,120,15,3,1,1,45,1,25,1,31,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
753,13,2023,7,0,0,2,4,0,0,20,5,0,0,6,0,0,0,0,7,0,16,1,0,5,4,5,0,3,18,18,1,0,12,3,1,3,30,6,1,0,20,0,0,1,2,18,2,0,4,1,4,0,7,0,2,0,2,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
751,13,2023,128,14,10,60,15,19,9,330,68,0,22,47,19,14,1,56,109,24,1101,37,4,95,15,70,7,220,212,209,16,2,144,19,16,7,578,72,20,17,327,11,30,6,101,198,109,3,4,3,118,4,55,9,118,10,50,59,1,17,14,4,3,4,2,3,2,4,2,5,3,8,1,3,10,21,3,2,21,14,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
642,13,2023,38,1,1,12,8,8,6,86,26,0,7,15,7,4,0,8,30,3,270,11,3,38,8,15,2,46,60,59,5,2,39,5,1,3,138,21,2,6,85,3,6,3,20,59,21,0,5,0,18,1,24,7,26,1,11,19,0,7,0,2,1,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
498,13,2023,107,15,17,50,15,38,39,527,57,4,24,20,20,3,4,13,69,2,1200,8,4,250,15,85,21,214,392,379,10,3,191,19,13,9,864,204,20,34,513,14,68,18,101,377,78,4,1,2,172,7,108,21,135,2,33,36,0,2,6,123,3,3,0,0,0,3,0,1,0,0,4,0,5,11,0,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
47,13,2023,101,20,5,51,11,15,22,516,50,5,18,98,17,9,2,13,86,13,961,12,2,229,11,69,14,169,386,376,15,2,202,15,11,7,714,186,22,38,504,11,47,19,92,366,91,1,0,1,120,11,123,10,130,6,46,40,0,5,8,7,6,2,1,3,0,2,0,1,0,0,2,0,3,8,0,0,8,7,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
193,13,2023,4,28,3,4,5,3,3,133,0,0,13,26,10,0,1,0,1,0,450,0,0,71,5,0,9,40,95,50,1,1,12,0,1,0,191,83,1,34,63,5,18,0,4,67,20,3,0,0,36,0,46,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,11,9,38,50,22,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
91,13,2023,21,9,6,11,5,10,10,144,10,0,4,32,2,0,0,5,11,2,239,2,4,55,5,21,3,38,114,114,2,1,56,2,2,0,188,58,3,4,144,4,13,5,26,105,18,2,1,1,36,1,18,4,30,2,5,6,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
252,13,2023,44,1,3,17,8,8,2,94,27,1,5,22,3,5,0,13,36,5,472,17,4,25,8,26,1,68,63,59,7,2,42,5,1,1,164,23,2,2,90,6,13,1,29,62,19,2,2,1,21,1,14,5,31,1,14,22,1,7,4,0,1,2,2,0,0,2,0,1,1,1,1,1,3,0,1,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2023-07-10
402,13,2023,120,3,10,65,14,24,13,274,55,0,20,76,17,16,0,69,96,19,1104,31,7,79,14,65,1,143,198,196,18,3,124,2,13,0,488,75,21,3,272,14,24,10,73,195,54,3,0,0,54,8,54,14,76,8,55,41,1,15,13,2,4,1,0,0,0,1,0,3,2,1,1,4,3,2,4,0,2,11,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2023-07-10
