player_id,team_id,season,passes_rightside,shots_total,loss_of_possession_total,lay_offs_successful,duels_ground_lost,corners_into_box_unsuccessful,duels_aerial,passes_forward,fouls_conceded_total,touches,goals_conceded_inside_box,duels,goals_conceded,dribbles_unsuccessful,goals_left_foot,recoveries,key_passes,throw_ins_to_opposition_player,shots_off_target,handballs_conceded,foul_attempted_tackle,ground_duels_won,games_played,successful_passes_total,shots_on_target,sub_on,launches_successful,long_passess_successful,tackled,blocks,aerial_duels_won,passess_leftside,clearances_total,crosses_corners_successful,open_play_crosses_unsuccessful,passes_own_half_successful,starts,penalties_won,shots_blocked,crosses_open_play_successful,launches_unsuccessful,goals,appearances,passes_own_half_unsuccessful,minutes,corners_taken,goals_conceded_penalty,crossses_corners_unsuccessful,yellow_cards,sub_off,clean_sheets,throw_ins_to_own_player,open_play_passes_successful,goals_conceded_outside_box,short_passes_unsuccessful,passess_opp_half_successful,lay_offs_unsuccessful,passes_total,passes_unsuccessful,tackles_lost,dribbles_successful,tackles_total,corners_into_box_successful,tackles_won,corners_won,goals_inside_box,passes_backwards,passes_opposition_half_unsuccessful,total_fouls_won,short_passes_successful,passes_open_play,duels_ground,long_passes_unsuccessful,interceptions,touches_total_opposition_box,duels_lost,duels_won,aerial_duels_lost,goals_home,goals_away,goals_win,goals_head,goals_outside_box,through_balls,assists,assists_intentional,goals_right_foot,offsides,penalties_taken,penalties_off_target,red_cards_total,red_cards_2nd_yellow,attempts_from_set_pieces,woodwork_hit,penalty_goals,goal_line_clearances,penalties_conceded,saves_made,saves_made_inside_box,penalties_faced,saves_made_outside_box,crosses_not_claimed,catches,gk_distribution_successful,punches,saves_made_caught,goalkicks_total,gk_distribution_unsuccessful,saves_made_parried,red_cards_straight,last_updated
772,14,2023,87,17,117,3,52,2,21,132,15,658,11,123,12,5,1,70,18,1,9,1,8,50,13,409,8,1,2,26,20,4,12,130,8,6,6,215,12,2,6,1,7,1,13,20,1047,11,1,9,3,5,3,4,380,1,53,200,1,474,65,10,9,23,4,13,4,1,125,54,18,383,445,102,12,7,23,61,62,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
453,14,2023,20,1,59,2,21,4,9,46,8,166,3,42,3,2,0,21,2,0,0,0,3,12,11,76,1,9,0,2,7,1,6,15,6,0,3,37,2,0,1,0,3,1,11,7,246,5,1,7,0,0,0,1,74,0,28,39,0,108,32,3,2,5,0,2,3,1,27,32,5,74,106,33,4,2,5,24,18,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
683,14,2023,7,1,23,0,5,0,0,17,0,80,1,12,1,3,0,12,1,0,0,0,0,7,8,39,1,8,0,0,4,0,0,12,0,0,3,13,0,0,1,0,0,0,8,5,133,0,0,3,0,0,0,1,39,0,11,26,0,52,13,2,3,2,0,0,1,0,16,11,2,39,52,12,2,0,11,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
681,14,2023,24,20,124,2,39,0,30,34,9,321,6,90,7,12,1,23,15,0,13,0,3,21,14,109,7,3,0,1,27,1,7,45,2,0,18,24,11,0,9,0,1,2,14,7,884,0,2,18,0,11,0,1,102,1,39,85,4,149,40,4,9,8,0,4,16,1,46,51,4,108,142,60,1,0,57,62,28,23,0,2,0,0,1,2,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
686,14,2023,59,25,209,4,77,0,6,151,19,635,10,163,11,21,1,58,21,0,15,3,9,80,12,241,10,0,2,16,43,2,1,61,4,5,14,63,12,1,10,1,9,5,12,25,1051,0,1,20,3,3,3,3,235,1,66,183,0,330,89,7,18,23,0,16,10,4,59,84,39,225,323,157,23,6,47,82,81,5,2,3,2,0,1,0,2,1,4,0,3,1,1,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
570,14,2023,0,0,3,0,0,0,0,2,0,5,0,1,0,0,0,2,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,1,0,2,0,0,4,3,1,0,1,0,0,0,0,1,1,0,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
243,14,2023,215,9,98,0,9,0,24,275,2,997,15,52,16,0,0,122,5,18,4,1,0,19,15,684,5,0,5,30,1,24,19,223,61,1,0,493,15,0,2,1,11,1,15,37,1350,0,2,0,1,0,5,49,654,1,45,192,0,757,73,7,1,15,0,8,0,1,44,36,3,654,722,28,28,24,20,14,38,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
795,14,2023,28,8,68,3,30,0,10,36,15,208,5,70,5,4,0,29,6,1,5,0,8,30,6,70,3,2,0,3,11,1,2,21,1,1,4,21,4,0,4,1,1,0,6,12,347,0,1,4,1,3,0,3,67,0,33,50,0,106,36,5,9,12,0,7,2,0,21,28,9,67,103,60,3,2,12,38,32,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
680,14,2023,3,3,19,1,5,0,8,8,1,59,4,16,4,2,1,4,3,1,1,0,0,3,7,25,2,7,0,1,4,0,3,13,0,0,2,7,0,0,1,0,2,1,7,6,113,0,0,2,0,0,0,3,21,0,10,18,2,37,12,0,2,1,0,1,0,1,13,8,0,24,33,8,2,0,6,10,6,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
685,14,2023,11,0,32,0,9,0,6,58,3,163,6,27,6,1,0,26,0,0,0,0,3,12,6,86,0,3,1,7,2,2,4,33,24,0,0,67,3,0,0,0,3,0,6,16,353,0,0,0,1,1,1,0,85,0,15,19,0,112,26,2,3,7,0,5,0,0,10,10,2,79,111,21,11,3,0,11,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
678,14,2023,140,13,142,3,60,0,65,203,29,798,13,209,14,2,0,121,3,2,6,3,17,84,14,453,7,1,5,34,11,3,36,120,27,1,2,240,13,0,1,1,5,0,14,32,1176,0,2,3,4,1,4,3,447,1,76,214,0,561,108,22,4,57,0,35,2,0,98,79,23,419,553,144,32,25,10,89,120,29,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
770,14,2023,18,10,73,0,33,0,19,21,8,206,6,79,6,7,0,21,5,1,4,1,3,27,11,54,6,7,0,3,21,3,8,17,7,0,1,23,4,0,2,0,1,0,11,3,402,1,0,1,0,4,0,3,47,0,23,31,0,80,26,5,11,9,0,4,3,0,24,24,7,51,73,60,3,3,27,44,35,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
328,14,2023,26,8,68,0,40,0,0,13,14,183,1,58,1,14,0,22,2,2,5,0,7,18,8,46,3,5,0,4,21,0,0,3,0,1,3,12,3,0,5,1,0,1,8,0,312,0,0,3,2,3,0,17,46,0,20,35,0,66,20,1,11,2,0,1,3,1,24,23,5,42,66,58,0,2,23,40,18,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
690,14,2023,65,1,53,0,10,0,5,112,3,366,6,28,6,0,0,45,1,0,1,1,1,13,7,252,0,0,2,15,1,10,0,95,15,1,3,195,7,0,0,1,7,0,7,20,598,0,1,3,0,2,2,2,243,0,27,58,0,297,45,1,6,3,0,2,0,0,25,28,4,237,285,23,18,10,1,15,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
504,14,2023,67,0,137,0,1,0,0,214,1,579,15,1,16,0,0,138,0,0,0,0,1,0,15,258,0,0,17,86,0,0,0,112,18,0,0,243,15,0,0,0,45,0,15,72,1350,0,2,0,0,0,5,0,153,1,7,15,0,393,135,0,0,0,0,0,0,0,0,63,0,172,219,1,128,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,36,2,21,1,14,180,10,1,121,34,7,0,2023-07-10
