player_id,team_id,season,total_fouls_won,clean_sheets,passes_unsuccessful,successful_passes_total,shots_off_target,duels,recoveries,blocks,appearances,touches,short_passes_successful,minutes,dribbles_successful,passes_own_half_successful,passes_forward,ground_duels_won,duels_lost,goals_conceded,aerial_duels_won,long_passess_successful,throw_ins_to_opposition_player,passes_open_play,foul_attempted_tackle,duels_ground,passes_rightside,launches_unsuccessful,fouls_conceded_total,goals_conceded_inside_box,loss_of_possession_total,passes_opposition_half_unsuccessful,tackles_total,passess_leftside,shots_total,sub_off,clearances_total,aerial_duels_lost,starts,crossses_corners_unsuccessful,key_passes,games_played,duels_won,interceptions,short_passes_unsuccessful,goals_conceded_outside_box,passes_own_half_unsuccessful,passes_total,long_passes_unsuccessful,duels_aerial,duels_ground_lost,passes_backwards,tackles_lost,passess_opp_half_successful,shots_on_target,touches_total_opposition_box,tackles_won,open_play_passes_successful,open_play_crosses_unsuccessful,goals_win,dribbles_unsuccessful,offsides,assists,tackled,sub_on,assists_intentional,throw_ins_to_own_player,corners_won,shots_blocked,lay_offs_successful,through_balls,penalties_conceded,handballs_conceded,crosses_corners_successful,crosses_open_play_successful,launches_successful,goals_conceded_penalty,lay_offs_unsuccessful,goals_inside_box,corners_taken,yellow_cards,goals,goals_outside_box,goals_right_foot,goals_home,goals_away,attempts_from_set_pieces,penalty_goals,woodwork_hit,corners_into_box_successful,penalties_won,penalties_taken,own_goals,goals_left_foot,corners_into_box_unsuccessful,goals_head,drops,saves_made_outside_box,saves_made_caught,gk_distribution_successful,gk_distribution_unsuccessful,goalkicks_total,saves_made_parried,gk_smother,penalties_faced,saves_made_inside_box,catches,saves_made,punches,last_updated
658,11,2023,4,7,79,657,1,31,56,10,11,829,618,945,1,524,264,13,12,7,6,39,1,718,2,19,299,9,4,6,87,57,8,102,3,1,35,6,11,2,3,11,19,8,37,1,24,736,42,12,6,71,3,133,2,7,5,644,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
657,11,2023,1,0,16,69,3,27,11,0,5,139,68,301,2,26,19,8,19,0,0,1,0,82,1,23,19,0,2,0,42,16,5,22,7,4,0,4,4,4,4,5,8,0,15,0,4,85,1,4,15,25,0,43,4,17,5,66,4,0,5,2,2,12,1,2,1,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
759,11,2023,0,0,3,12,0,9,2,0,2,23,10,14,1,4,4,5,3,0,1,2,1,15,1,7,6,1,1,0,4,0,4,2,0,0,0,1,0,0,0,2,6,1,2,0,3,15,1,2,2,3,0,8,0,0,4,12,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
761,11,2023,0,0,3,4,0,5,1,0,2,16,4,48,0,2,2,1,4,1,0,0,0,6,0,4,4,0,0,1,8,3,1,0,0,1,0,1,1,0,0,2,1,0,3,0,0,7,0,1,3,1,0,2,0,4,1,3,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
576,11,2023,14,7,109,629,2,103,102,1,13,1044,607,1132,14,331,282,44,51,11,8,22,13,715,1,85,196,12,9,10,175,73,16,108,4,0,27,10,13,12,11,13,52,21,80,1,48,738,29,18,41,152,6,301,2,16,10,610,12,0,10,1,1,24,0,1,107,8,4,4,2,1,1,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
757,11,2023,5,0,47,128,3,55,19,1,11,262,124,435,6,55,36,20,32,5,3,4,1,173,6,47,70,2,7,5,82,42,9,11,8,6,4,5,6,10,5,11,23,3,41,0,15,175,6,8,27,58,4,73,5,19,5,126,10,1,6,1,1,9,5,1,0,1,3,4,1,0,0,0,0,0,1,3,1,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
755,11,2023,1,0,11,21,1,25,5,0,7,66,19,134,3,11,7,4,14,4,7,2,0,28,0,14,7,0,4,4,23,8,0,8,1,1,6,4,1,1,0,7,11,0,9,0,4,32,2,11,10,10,0,10,0,6,0,17,1,0,1,0,0,7,6,0,0,1,1,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
650,11,2023,19,4,92,339,14,154,66,0,13,708,324,1106,44,115,72,73,80,10,1,15,0,425,3,147,110,2,13,9,209,71,10,112,27,4,2,6,13,7,19,13,74,5,84,1,28,431,8,7,74,137,2,230,13,104,8,333,6,3,36,6,0,54,0,0,5,11,8,12,2,0,1,6,5,0,2,2,7,1,2,8,1,8,3,5,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
344,11,2023,8,8,182,851,3,82,101,14,15,1199,790,1312,4,660,383,23,38,13,21,61,10,984,3,40,239,36,8,12,209,113,11,334,3,0,61,21,15,1,0,15,44,7,80,1,70,1033,102,42,17,77,4,191,0,8,7,816,1,0,3,0,1,6,0,0,11,0,0,0,1,0,0,0,0,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
312,11,2023,4,2,75,161,8,64,46,1,13,414,156,783,2,54,84,18,38,7,8,5,3,232,4,45,25,6,9,6,137,85,12,70,18,6,14,11,9,29,7,13,26,6,61,1,19,236,14,19,27,57,6,113,10,30,6,158,28,4,2,14,0,8,4,0,13,7,6,4,5,0,0,6,6,1,0,1,4,5,1,4,0,3,3,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
718,11,2023,4,1,60,148,2,71,24,0,12,302,144,579,8,53,43,22,45,4,4,4,0,205,3,53,63,1,10,4,96,54,10,37,4,6,0,14,7,6,7,12,26,2,53,0,12,208,7,18,31,65,4,98,2,24,6,145,6,0,5,3,1,12,5,1,1,3,1,9,1,0,0,3,3,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
760,11,2023,18,7,95,560,6,140,101,3,15,946,532,1283,11,283,178,75,65,12,0,28,0,628,10,128,151,7,14,11,194,105,46,178,10,5,13,12,15,44,16,15,75,19,79,1,34,655,16,12,53,148,17,295,4,22,29,537,9,0,6,1,3,21,0,1,5,6,4,20,3,0,1,18,3,4,2,0,0,54,0,0,0,0,0,0,1,0,1,13,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
424,11,2023,0,7,136,314,0,9,86,0,13,557,241,1132,0,298,230,2,1,11,6,73,0,301,0,3,107,32,0,10,139,54,2,113,0,0,13,0,13,0,0,13,8,0,11,1,82,450,125,6,1,0,0,16,0,0,2,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,2,118,32,104,9,1,2,20,7,33,9,2023-07-10
93,11,2023,22,7,103,603,3,188,136,2,13,926,583,1132,14,301,198,84,89,11,15,20,0,696,9,150,210,14,19,10,162,66,48,153,4,0,4,23,13,2,11,13,99,19,79,1,39,706,24,38,66,145,20,302,1,10,28,593,2,0,15,0,1,29,0,1,5,1,4,6,2,0,3,0,0,0,2,0,1,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
590,11,2023,7,2,55,203,0,47,38,4,7,408,194,542,1,129,114,24,20,8,3,9,11,247,2,36,77,9,4,8,75,29,16,22,0,3,14,8,6,1,6,7,27,9,40,0,27,258,15,11,12,45,6,75,0,4,10,193,1,0,1,0,1,2,1,0,49,1,0,0,0,1,1,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
543,11,2023,12,0,19,80,1,47,20,0,11,158,77,290,6,37,20,27,17,4,3,3,0,95,1,42,28,0,3,3,33,14,9,26,3,2,3,2,2,1,2,11,30,3,18,1,6,99,1,5,15,25,4,43,2,8,5,76,1,0,4,0,0,9,9,0,1,1,1,3,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
595,11,2023,5,1,31,115,4,35,20,0,7,190,112,324,2,68,40,12,18,5,5,3,0,146,5,26,34,2,8,5,38,27,5,37,6,2,4,4,3,3,6,7,17,1,26,0,7,146,5,9,14,35,1,50,2,6,4,115,0,0,0,0,0,3,4,0,1,0,1,1,0,0,1,3,0,0,2,1,1,4,2,1,0,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
9,11,2023,11,0,7,50,1,47,19,0,6,136,50,252,2,24,9,18,26,3,3,0,0,57,0,38,17,0,2,3,40,16,5,4,5,2,1,6,3,10,2,6,21,1,6,0,1,57,1,9,20,27,1,26,4,11,4,50,9,0,5,1,0,16,3,0,0,5,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
756,11,2023,0,0,11,25,1,16,6,0,2,54,25,91,3,13,16,7,7,2,2,0,0,36,1,9,7,2,1,2,15,7,4,5,2,1,1,5,1,0,0,2,9,0,7,0,4,36,4,7,2,8,3,12,1,3,1,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
73,11,2023,0,1,14,80,0,2,14,0,2,117,69,180,0,77,34,0,0,2,2,11,0,71,0,0,29,6,0,2,15,9,0,31,0,0,3,0,2,0,0,2,2,0,0,0,5,94,14,2,0,0,0,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,3,16,2,0,0,5,3,7,1,2023-07-10
251,11,2023,3,2,64,274,1,61,45,0,10,431,271,633,4,134,91,24,34,5,3,3,1,333,9,53,80,4,9,5,93,47,17,76,3,7,2,5,9,8,3,10,27,6,56,0,25,338,8,8,29,91,6,142,2,4,11,269,7,0,1,0,0,8,1,0,4,2,0,2,0,0,0,2,2,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
655,11,2023,1,0,20,75,0,12,12,2,6,138,73,243,0,33,17,1,10,1,1,2,0,94,1,8,25,0,1,1,36,20,0,18,0,3,5,3,3,4,4,6,2,2,18,0,4,95,2,4,7,35,0,44,0,7,0,74,4,0,0,0,1,5,3,1,2,0,1,7,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
