player_id,team_id,season,loss_of_possession_total,passes_total,corners_into_box_unsuccessful,passes_open_play,shots_on_target,sub_off,long_passes_unsuccessful,through_balls,total_fouls_won,crosses_corners_successful,passess_leftside,crossses_corners_unsuccessful,touches,passes_forward,corners_taken,crosses_open_play_successful,throw_ins_to_opposition_player,fouls_conceded_total,passes_own_half_successful,launches_unsuccessful,long_passess_successful,ground_duels_won,duels_won,short_passes_successful,games_played,woodwork_hit,throw_ins_to_own_player,aerial_duels_won,tackle_last_man,tackles_last_man,clean_sheets,passess_opp_half_successful,touches_total_opposition_box,duels_ground_lost,starts,recoveries,shots_total,passes_opposition_half_unsuccessful,launches_successful,goals_conceded,sub_on,appearances,goals_conceded_outside_box,duels_lost,goals_conceded_inside_box,interceptions,successful_passes_total,aerial_duels_lost,clearances_total,passes_unsuccessful,tackles_total,passes_backwards,duels_aerial,corners_won,key_passes,passes_rightside,open_play_passes_successful,short_passes_unsuccessful,duels_ground,shots_off_target,passes_own_half_unsuccessful,minutes,duels,tackles_won,tackles_lost,goals_win,open_play_crosses_unsuccessful,yellow_cards,dribbles_successful,tackled,foul_attempted_tackle,assists_intentional,lay_offs_unsuccessful,assists,shots_blocked,offsides,assists_second,dribbles_unsuccessful,blocks,penalties_won,lay_offs_successful,saves_made_inside_box,saves_made_outside_box,gk_distribution_unsuccessful,saves_made,goalkicks_total,gk_distribution_successful,handballs_conceded,corners_into_box_successful,goals_right_foot,goals_outside_box,goals,goals_inside_box,attempts_from_set_pieces,goals_set_piece,goals_home,goals_away,goals_left_foot,penalties_taken,penalty_goals,goal_line_clearances,punches,saves_made_caught,gk_smother,catches,saves_made_parried,last_updated
181,5,2023,102,411,1,392,1,2,26,1,8,1,50,2,528,170,1,1,8,2,238,9,16,22,24,313,10,1,22,2,1,1,2,92,1,3,8,61,2,54,6,8,2,10,1,12,7,11,329,9,24,82,14,44,11,2,2,147,310,56,25,1,30,747,36,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
17,5,2023,97,249,0,244,3,3,1,0,2,1,55,2,378,79,1,1,0,9,62,1,3,38,41,187,11,0,3,3,0,0,0,129,15,40,4,42,3,47,1,4,7,11,0,47,4,7,190,7,1,59,16,46,10,2,7,69,185,58,78,0,14,485,88,9,7,0,2,2,20,18,2,1,1,1,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
410,5,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
284,5,2023,96,254,0,245,0,2,38,0,2,0,75,1,338,123,0,0,8,8,107,14,6,7,11,165,8,0,14,4,0,0,1,64,1,21,6,44,0,62,2,5,2,8,1,28,4,8,171,7,23,83,4,20,11,0,0,36,163,45,28,0,22,514,39,4,0,0,1,1,1,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
754,5,2023,15,32,0,30,0,2,1,0,1,0,6,2,51,6,0,0,0,4,8,0,0,7,7,22,5,0,0,0,0,0,0,14,3,8,2,10,0,12,0,1,3,5,0,9,1,1,22,1,1,10,3,13,1,0,1,7,20,9,15,0,0,151,16,1,2,0,2,0,3,2,3,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
477,5,2023,16,37,0,25,0,0,16,0,0,0,8,0,42,22,0,0,0,0,19,3,8,0,0,13,1,0,0,0,0,0,0,2,0,0,1,9,0,8,0,1,0,1,0,0,1,0,21,0,1,16,0,0,0,0,0,7,14,0,0,0,8,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
645,5,2023,68,372,0,361,0,3,24,0,0,0,85,0,454,117,0,0,0,4,249,8,11,14,16,297,11,0,1,2,1,1,2,59,0,9,9,74,0,39,2,9,2,11,0,20,9,9,308,11,27,64,13,41,13,0,0,129,298,40,23,0,25,787,36,8,5,0,0,0,1,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
146,5,2023,8,19,1,19,0,0,0,0,0,1,2,3,27,7,2,0,0,0,3,0,1,0,0,16,4,0,1,0,0,0,0,15,0,2,0,3,0,4,0,0,4,4,0,2,0,0,17,0,0,2,0,4,0,0,1,6,17,2,2,0,1,19,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
220,5,2023,124,465,0,444,1,3,57,0,4,1,138,0,570,199,0,1,0,3,267,23,17,19,32,339,11,0,1,13,1,1,2,90,3,9,11,85,2,60,4,7,0,11,0,13,7,13,356,4,33,109,13,34,17,1,0,94,343,52,28,1,49,827,45,5,8,0,0,1,2,5,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
211,5,2023,99,528,0,507,2,1,36,0,12,0,147,0,641,152,0,0,0,17,268,4,26,38,71,412,14,0,0,33,0,0,4,170,7,30,13,91,5,63,0,12,1,14,1,43,11,16,438,13,23,90,17,74,46,2,4,155,422,54,68,3,27,1176,114,8,9,1,0,3,9,4,11,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2023-07-10
