player_id,team_id,season,sub_on,starts,recoveries,goals_conceded_penalty,open_play_crosses_unsuccessful,appearances,corners_taken,duels_aerial,duels_lost,tackles_lost,fouls_conceded_total,dribbles_successful,passes_forward,crosses_open_play_successful,goals_conceded_inside_box,shots_blocked,tackles_won,dribbles_unsuccessful,short_passes_unsuccessful,shots_on_target,lay_offs_successful,launches_unsuccessful,handballs_conceded,ground_duels_won,passes_opposition_half_unsuccessful,throw_ins_to_own_player,short_passes_successful,passes_own_half_successful,passess_leftside,tackles_total,passes_total,duels,goals_conceded,loss_of_possession_total,crosses_corners_successful,corners_into_box_successful,passes_rightside,duels_won,blocks,attempts_from_set_pieces,crossses_corners_unsuccessful,passes_backwards,total_fouls_won,goals_conceded_outside_box,shots_off_target,interceptions,passess_opp_half_successful,duels_ground_lost,passes_open_play,yellow_cards,foul_attempted_tackle,games_played,shots_total,successful_passes_total,tackled,long_passess_successful,touches,clearances_total,passes_own_half_unsuccessful,key_passes,touches_total_opposition_box,corners_into_box_unsuccessful,minutes,aerial_duels_won,passes_unsuccessful,long_passes_unsuccessful,open_play_passes_successful,corners_won,sub_off,duels_ground,aerial_duels_lost,goals_win,offsides,goals_head,woodwork_hit,lay_offs_unsuccessful,goals_inside_box,goals,goals_right_foot,goals_home,goals_away,launches_successful,through_balls,clean_sheets,gk_distribution_successful,saves_made_outside_box,gk_smother,drops,goalkicks_total,gk_distribution_unsuccessful,saves_made_inside_box,penalties_faced,saves_made,goal_line_clearances,penalties_conceded,assists,assists_intentional,throw_ins_to_opposition_player,goals_outside_box,goals_set_piece,penalties_won,own_goals,saves_made_parried,punches,catches,saves_penalty,penalties_saved,saves_made_caught,penalty_goals,goals_left_foot,penalties_taken,last_updated
673,7,2023,4,9,59,2,12,13,13,13,59,8,13,16,102,3,14,4,17,11,44,10,3,8,1,47,61,4,219,99,62,25,293,113,16,135,8,4,74,54,1,1,20,55,6,2,7,3,138,53,290,1,12,13,17,229,26,10,475,5,23,12,27,8,824,7,64,20,226,6,5,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
805,7,2023,3,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,0,0,3,0,1,1,0,5,0,0,0,1,0,9,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
763,7,2023,4,11,47,2,18,15,1,49,80,7,13,22,44,1,15,7,12,20,65,9,14,0,0,46,74,2,143,64,46,19,211,155,15,168,1,0,58,75,2,0,19,63,5,0,15,1,82,60,194,1,5,15,24,145,39,2,445,9,11,7,61,1,991,29,66,1,128,12,9,106,20,2,10,2,3,3,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
724,7,2023,1,0,3,0,0,1,0,1,2,0,0,2,2,0,1,0,2,1,4,0,0,0,0,4,2,0,10,2,6,2,15,6,1,7,0,0,5,4,1,0,0,2,0,0,0,0,9,1,15,0,0,1,0,11,1,1,24,0,2,1,0,0,23,0,4,0,11,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
672,7,2023,1,14,113,1,5,15,0,47,96,13,24,15,167,2,13,8,26,3,82,4,1,4,0,67,73,0,346,181,95,39,450,181,15,137,2,0,89,85,2,0,5,99,13,2,5,15,176,67,437,1,14,15,9,355,17,9,654,11,27,11,16,0,1147,18,95,13,342,3,9,134,29,0,0,1,1,1,1,1,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
602,7,2023,0,1,14,1,0,1,0,0,1,0,0,0,27,0,2,0,0,0,0,0,0,5,0,0,7,0,11,16,6,0,36,1,2,20,0,0,3,0,0,0,0,0,0,0,0,0,2,1,20,0,0,1,0,18,1,7,50,1,11,0,0,0,90,0,18,18,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,1,1,13,9,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
669,7,2023,0,4,28,2,0,4,0,6,20,5,9,0,73,0,10,0,2,1,20,0,0,10,1,9,21,0,140,117,28,7,181,31,10,40,1,0,74,11,6,0,0,6,2,0,1,3,30,16,162,1,3,4,1,146,4,6,232,19,14,1,2,0,360,2,35,15,132,1,0,25,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
668,7,2023,3,6,23,0,13,9,0,9,46,2,11,4,31,3,6,1,3,19,37,5,2,0,0,15,44,6,73,24,25,5,112,63,6,91,3,0,33,17,1,0,13,23,6,0,6,1,53,39,111,2,5,9,11,74,26,1,231,1,7,5,33,0,463,2,38,1,73,8,5,54,7,1,4,0,1,1,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
425,7,2023,5,0,15,0,4,5,0,9,10,1,3,1,25,0,0,0,1,1,10,1,0,5,0,3,15,13,30,10,11,2,45,19,0,29,0,0,3,9,0,0,4,6,1,0,0,2,20,7,45,0,0,5,1,30,4,0,91,4,4,0,2,0,113,6,15,5,30,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
765,7,2023,0,13,71,1,21,13,47,11,79,3,15,27,73,3,17,15,12,26,75,15,3,6,1,69,108,3,241,70,62,15,330,153,19,235,21,16,88,74,2,4,54,107,27,2,13,7,196,73,315,2,5,13,28,245,50,4,669,7,31,33,93,28,1169,5,85,10,233,25,1,142,6,1,5,0,2,0,2,3,3,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2023-07-10
