player_id,team_id,season,successful_passes_total,open_play_passes_successful,minutes,passess_opp_half_successful,loss_of_possession_total,games_played,throw_ins_to_opposition_player,touches,passes_unsuccessful,throw_ins_to_own_player,sub_on,passes_forward,passes_open_play,crossses_corners_unsuccessful,short_passes_successful,passess_leftside,long_passes_unsuccessful,appearances,passes_total,short_passes_unsuccessful,open_play_crosses_unsuccessful,passes_opposition_half_unsuccessful,goals_win,passes_rightside,passes_own_half_unsuccessful,tackled,fouls_conceded_total,shots_total,total_fouls_won,duels_aerial,duels_lost,ground_duels_won,shots_on_target,aerial_duels_lost,foul_attempted_tackle,goals_right_foot,aerial_duels_won,duels_won,touches_total_opposition_box,goals,goals_conceded_inside_box,lay_offs_successful,goals_inside_box,duels_ground,blocks,duels,corners_won,passes_backwards,recoveries,duels_ground_lost,passes_own_half_successful,goals_conceded,clearances_total,dribbles_unsuccessful,goals_home,goals_away,catches,launches_successful,saves_made_inside_box,drops,saves_made,punches,yellow_cards,penalties_faced,penalties_conceded,saves_made_outside_box,saves_made_parried,gk_distribution_unsuccessful,goals_conceded_outside_box,goalkicks_total,crosses_not_claimed,launches_unsuccessful,gk_distribution_successful,long_passess_successful,goals_conceded_penalty,starts,clean_sheets,key_passes,corners_taken,sub_off,assists_intentional,dribbles_successful,through_balls,tackles_won,corners_into_box_unsuccessful,shots_blocked,shots_off_target,woodwork_hit,interceptions,lay_offs_unsuccessful,tackles_lost,crosses_corners_successful,crosses_open_play_successful,tackles_total,corners_into_box_successful,assists,handballs_conceded,offsides,penalties_won,goals_left_foot,own_goals,goals_head,attempts_from_set_pieces,goals_outside_box,tackle_last_man,tackles_last_man,assists_second,penalties_taken,penalty_goals,last_updated
675,8,2023,1,1,12,1,5,1,1,7,3,1,1,2,4,1,1,2,1,1,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
606,8,2023,11,11,68,8,12,3,0,32,5,0,3,6,16,1,11,4,0,3,16,5,1,5,0,3,1,3,2,1,2,5,9,2,1,2,1,1,3,5,6,1,1,2,1,9,1,14,2,3,3,7,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
364,8,2023,212,113,1260,20,132,14,0,454,131,0,0,211,151,0,142,85,127,14,343,4,0,66,0,47,65,0,2,1,1,5,2,1,1,0,2,1,5,6,1,1,17,0,1,3,0,8,0,0,90,2,192,19,9,0,1,0,24,12,30,1,40,7,2,2,1,10,8,49,2,131,1,28,116,70,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
676,8,2023,557,544,1330,316,187,15,0,930,122,3,0,237,661,37,520,167,30,15,679,92,7,118,0,166,41,11,16,6,6,19,48,63,2,10,11,0,9,72,4,0,18,6,0,101,6,120,7,109,127,38,264,20,18,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,13,0,37,2,15,4,24,43,1,5,9,4,31,24,6,4,1,23,1,17,23,6,48,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
768,8,2023,64,60,330,40,60,13,0,165,33,1,11,27,93,8,63,28,2,13,97,31,8,37,0,22,4,11,4,13,2,21,23,10,5,7,1,0,14,24,31,0,6,5,0,26,0,47,4,20,10,16,24,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,3,0,1,0,6,0,2,0,4,8,1,1,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
215,8,2023,347,346,1000,208,162,13,0,658,90,1,0,137,436,17,330,135,11,13,437,79,17,86,0,66,21,24,10,18,16,16,63,59,11,10,8,3,6,65,52,5,14,8,5,112,2,128,8,99,77,53,142,16,5,12,2,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,17,1,13,1,24,0,8,2,19,4,16,0,6,7,1,15,2,9,3,3,25,0,2,0,5,1,2,0,0,0,0,0,0,0,0,0,2023-07-10
566,8,2023,8,3,90,5,8,1,0,23,8,0,0,13,4,0,3,1,8,1,16,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,1,3,1,0,1,0,0,0,0,0,1,4,0,8,0,2,9,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
309,8,2023,646,628,1309,175,150,15,0,949,139,2,0,296,766,0,601,286,75,15,785,64,0,73,1,164,66,6,9,9,6,21,37,35,6,8,0,0,13,48,12,1,19,0,1,64,10,85,2,39,110,29,471,21,62,1,1,0,0,10,0,0,0,0,4,0,0,0,0,0,2,0,0,32,0,45,2,15,2,2,0,2,0,1,2,20,0,0,3,0,12,0,8,0,0,28,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2023-07-10
205,8,2023,487,458,1118,265,260,13,17,990,153,113,0,288,607,47,446,16,37,13,640,116,19,146,0,233,54,9,6,7,10,15,36,30,2,11,4,0,4,34,13,0,14,0,0,55,3,70,7,103,96,25,239,16,19,5,0,0,0,8,0,0,0,0,1,0,1,0,0,0,2,0,0,10,0,41,1,13,4,29,43,4,2,5,5,9,28,2,5,0,14,0,6,17,8,15,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
568,8,2023,550,541,1190,270,232,14,12,1084,161,117,1,327,702,14,516,224,51,14,711,110,14,119,0,53,56,17,8,8,11,30,61,61,2,17,7,0,13,74,23,1,18,0,1,105,6,135,2,107,140,44,281,20,38,9,1,0,0,7,0,0,0,0,3,0,0,0,0,0,2,0,0,21,0,34,2,13,1,8,0,2,0,10,1,25,0,2,6,0,12,0,15,1,1,40,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,2023-07-10
