player_id,team_id,season,duels,through_balls,tackled,appearances,touches,passes_own_half_unsuccessful,interceptions,long_passess_successful,ground_duels_won,loss_of_possession_total,duels_won,goals_conceded,aerial_duels_lost,starts,short_passes_successful,dribbles_successful,passes_forward,throw_ins_to_own_player,successful_passes_total,duels_aerial,duels_lost,goals_conceded_inside_box,passes_unsuccessful,total_fouls_won,passess_opp_half_successful,passes_open_play,minutes,passes_rightside,crosses_open_play_successful,crosses_corners_successful,passes_backwards,touches_total_opposition_box,passess_leftside,open_play_passes_successful,passes_total,duels_ground,tackles_won,passes_own_half_successful,passes_opposition_half_unsuccessful,tackles_lost,duels_ground_lost,blocks,games_played,sub_on,key_passes,short_passes_unsuccessful,sub_off,tackles_total,recoveries,goals_win,goals_right_foot,goals_left_foot,goals_head,goals_conceded_outside_box,fouls_conceded_total,aerial_duels_won,assists,offsides,shots_on_target,lay_offs_unsuccessful,open_play_crosses_unsuccessful,clean_sheets,handballs_conceded,dribbles_unsuccessful,assists_intentional,goals_inside_box,goals_conceded_penalty,crossses_corners_unsuccessful,launches_unsuccessful,corners_won,shots_off_target,launches_successful,clearances_total,shots_total,shots_blocked,foul_attempted_tackle,long_passes_unsuccessful,goals,lay_offs_successful,goals_home,goals_away,corners_taken,corners_into_box_unsuccessful,throw_ins_to_opposition_player,corners_into_box_successful,yellow_cards,goal_line_clearances,penalties_conceded,attempts_from_set_pieces,goalkicks_total,gk_distribution_successful,gk_distribution_unsuccessful,penalties_taken,penalty_goals,penalties_won,woodwork_hit,goals_outside_box,penalties_faced,saves_made_caught,punches,saves_made_parried,saves_made,tackle_last_man,tackles_last_man,catches,gk_smother,saves_made_inside_box,saves_made_outside_box,last_updated
667,6,2023,13,1,1,5,61,1,2,1,6,13,6,1,4,1,31,2,14,2,32,4,7,1,9,1,21,41,118,5,1,1,11,1,11,32,41,9,2,12,8,1,3,1,5,4,3,9,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
426,6,2023,149,1,13,15,560,37,11,11,52,185,88,17,25,14,221,6,127,4,232,61,61,12,132,19,154,353,1118,79,4,4,83,48,75,221,364,88,19,82,102,8,36,1,15,1,13,110,10,27,56,1,1,1,3,5,17,36,1,5,12,1,7,1,1,2,1,5,1,7,14,6,14,1,7,26,4,10,22,5,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
150,6,2023,116,0,9,15,1025,53,27,65,51,228,64,17,18,15,450,3,342,133,515,31,52,12,159,5,210,641,1305,245,3,7,66,1,21,489,674,85,23,312,122,20,34,3,15,0,9,91,3,43,78,0,0,0,0,5,9,13,1,0,0,0,12,3,2,1,1,0,1,16,34,1,0,11,19,0,1,5,68,0,0,0,0,4,2,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
644,6,2023,95,0,22,15,287,20,2,1,12,137,35,8,17,6,84,7,38,2,85,40,60,5,74,1,65,156,564,22,0,0,57,42,42,82,159,55,4,20,66,0,43,0,15,9,3,73,4,4,30,0,0,1,1,3,17,23,2,2,8,3,12,0,1,8,1,2,1,12,0,6,8,0,4,16,5,8,1,2,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
661,6,2023,25,0,3,8,130,11,5,3,11,51,13,3,4,2,32,1,33,16,35,6,12,3,29,3,15,64,183,6,0,0,14,3,11,35,64,19,7,20,21,0,8,1,8,6,0,19,2,7,14,0,0,0,0,0,3,2,0,0,0,0,3,0,0,2,0,0,1,3,3,2,0,1,4,0,0,0,10,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
666,6,2023,3,0,1,2,10,1,0,0,1,2,2,0,0,0,6,0,2,0,6,1,1,0,1,1,2,7,3,4,0,0,0,0,1,6,7,2,0,4,0,0,1,0,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
487,6,2023,70,2,3,13,918,60,28,87,33,172,49,15,8,13,510,9,357,0,597,24,21,10,150,5,184,722,1170,78,3,3,35,5,277,576,747,46,10,416,95,9,13,12,13,0,8,55,0,19,115,0,0,0,0,5,7,16,1,0,0,0,5,4,0,2,1,0,0,5,40,0,1,8,38,1,0,4,95,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
153,6,2023,78,6,16,11,479,23,9,13,33,132,43,13,10,11,224,12,128,7,237,20,35,9,87,9,157,320,898,80,1,1,58,28,58,234,324,58,8,81,69,4,25,1,11,0,10,69,2,12,63,2,2,1,0,4,5,10,0,2,7,0,5,3,1,7,0,3,1,5,7,6,11,2,3,18,9,0,18,3,9,2,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
526,6,2023,66,0,3,14,894,76,10,48,20,153,40,18,7,14,574,1,299,0,622,27,26,13,142,0,94,733,1215,233,0,0,33,4,199,602,764,39,12,528,66,7,19,4,14,0,0,60,1,19,113,0,0,0,0,5,6,20,0,0,1,1,0,3,0,1,0,0,1,0,48,0,2,16,64,3,0,3,82,0,0,0,0,0,0,0,0,1,0,0,0,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
793,6,2023,5,0,1,2,59,3,1,2,1,26,2,0,2,0,18,1,19,6,20,3,3,0,15,0,10,33,55,6,0,0,0,0,10,18,35,2,0,10,14,0,1,0,2,2,0,3,0,0,8,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,6,1,1,1,2,1,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
