player_id,team_id,season,tackles_lost,interceptions,touches,crosses_open_play_successful,appearances,duels_aerial,sub_on,passes_total,open_play_crosses_unsuccessful,duels_ground,successful_passes_total,foul_attempted_tackle,long_passess_successful,duels,key_passes,lay_offs_unsuccessful,dribbles_unsuccessful,passess_leftside,passess_opp_half_successful,loss_of_possession_total,duels_lost,goals_conceded,passes_forward,short_passes_successful,tackles_won,sub_off,minutes,goals_conceded_penalty,fouls_conceded_total,aerial_duels_lost,shots_on_target,crosses_corners_successful,open_play_passes_successful,duels_ground_lost,passes_opposition_half_unsuccessful,duels_won,goals_inside_box,lay_offs_successful,starts,goals,passes_open_play,goals_head,shots_blocked,launches_unsuccessful,short_passes_unsuccessful,aerial_duels_won,shots_off_target,long_passes_unsuccessful,dribbles_successful,passes_rightside,goals_conceded_inside_box,passes_backwards,shots_total,tackled,corners_won,passes_unsuccessful,recoveries,total_fouls_won,games_played,ground_duels_won,tackles_total,throw_ins_to_own_player,crossses_corners_unsuccessful,passes_own_half_unsuccessful,passes_own_half_successful,clearances_total,offsides,yellow_cards,blocks,touches_total_opposition_box,goals_home,goals_away,goals_win,corners_taken,goals_conceded_outside_box,goals_right_foot,assists_intentional,through_balls,clean_sheets,penalties_conceded,corners_into_box_unsuccessful,launches_successful,corners_into_box_successful,assists,handballs_conceded,throw_ins_to_opposition_player,goals_left_foot,goals_outside_box,goalkicks_total,gk_distribution_successful,woodwork_hit,penalties_taken,penalty_goals,attempts_from_set_pieces,drops,saves_made,red_cards_total,saves_made_inside_box,penalties_faced,crosses_not_claimed,red_cards_straight,saves_made_caught,gk_distribution_unsuccessful,saves_made_parried,punches,catches,saves_made_outside_box,own_goals,last_updated
699,16,2023,3,2,241,1,13,15,8,102,7,66,63,3,1,81,1,1,13,35,33,92,38,5,34,62,7,5,430,1,3,6,5,1,63,32,33,43,1,1,5,1,102,1,4,4,33,9,7,6,9,13,5,20,12,25,6,39,30,15,13,34,10,1,7,13,31,7,3,1,2,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
775,16,2023,2,0,65,1,5,0,5,33,2,18,22,0,0,18,2,0,2,8,21,23,9,1,8,22,2,0,68,0,1,0,4,1,21,9,10,9,0,1,0,0,32,0,1,1,9,0,1,2,5,8,1,9,5,5,1,11,9,0,5,9,4,1,2,3,2,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
700,16,2023,0,2,128,0,7,6,5,96,0,13,72,2,2,19,1,1,0,26,37,31,9,8,24,70,2,2,253,0,2,4,3,0,70,5,16,10,1,2,2,1,94,0,2,1,21,2,0,3,2,31,7,15,3,3,1,24,18,4,7,8,2,0,0,8,35,3,0,0,1,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
28,16,2023,16,24,666,1,15,18,0,463,3,93,367,7,32,111,7,0,3,101,174,142,43,15,176,335,12,7,1255,3,13,11,1,8,359,32,76,68,0,3,15,0,455,0,1,9,75,7,2,21,5,94,15,92,3,5,0,96,104,28,15,61,28,2,21,41,201,25,0,3,6,5,0,0,0,22,0,0,1,1,3,1,16,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
814,16,2023,0,0,3,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
813,16,2023,0,0,35,0,1,4,0,16,1,4,9,0,1,8,0,0,0,1,5,14,3,2,10,8,1,1,60,1,0,2,0,0,9,1,5,5,0,0,1,0,15,0,0,0,6,2,0,1,2,4,2,1,0,1,1,7,4,0,1,3,1,5,1,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
237,16,2023,7,3,343,4,14,27,6,216,14,51,154,2,3,78,12,1,1,40,80,100,38,15,80,151,8,6,787,2,6,19,8,6,146,19,62,40,1,4,8,2,208,0,6,5,48,8,6,14,7,34,14,62,14,7,5,62,36,10,14,32,15,0,17,17,80,7,3,0,4,25,0,2,1,7,1,0,1,0,0,0,3,0,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
317,16,2023,1,3,181,0,7,16,1,122,5,24,85,3,1,40,4,0,0,31,43,57,24,6,45,84,2,6,361,2,7,11,0,0,82,13,33,16,0,3,6,0,119,0,5,2,32,5,3,5,2,21,6,25,3,4,2,37,13,6,7,11,3,4,5,9,42,4,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
776,16,2023,5,4,238,1,6,6,0,177,0,27,128,5,8,33,4,0,0,39,55,62,18,3,70,120,4,1,538,0,8,3,1,1,128,15,31,15,1,0,6,1,177,0,1,4,36,3,1,13,2,38,3,30,2,3,0,49,42,1,6,12,9,0,1,19,74,8,0,1,3,5,0,1,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
694,16,2023,5,13,837,0,13,27,0,706,3,25,618,1,33,52,5,0,0,137,117,102,21,15,228,585,8,0,1170,2,4,13,0,0,598,8,48,31,0,0,13,0,683,0,0,16,47,14,0,41,1,280,14,61,0,3,0,88,107,3,13,17,13,3,3,43,501,55,0,0,13,0,0,0,0,0,1,0,0,0,5,1,0,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
