player_id,team_id,season,tackles_lost,corners_taken,goals_inside_box,foul_attempted_tackle,tackled,corners_won,passes_own_half_successful,passes_rightside,passes_backwards,touches,sub_on,passes_unsuccessful,passes_opposition_half_unsuccessful,goals_head,tackles_won,short_passes_successful,successful_passes_total,shots_total,fouls_conceded_total,passess_opp_half_successful,shots_on_target,recoveries,passes_own_half_unsuccessful,duels_lost,passes_open_play,total_fouls_won,passes_total,crossses_corners_unsuccessful,goals_conceded_inside_box,duels,loss_of_possession_total,games_played,short_passes_unsuccessful,aerial_duels_won,interceptions,tackles_total,open_play_passes_successful,goals_conceded_penalty,starts,goals_conceded,open_play_crosses_unsuccessful,lay_offs_successful,minutes,long_passess_successful,duels_won,goals,duels_ground,shots_blocked,aerial_duels_lost,blocks,duels_aerial,dribbles_unsuccessful,passess_leftside,dribbles_successful,duels_ground_lost,touches_total_opposition_box,key_passes,ground_duels_won,passes_forward,launches_unsuccessful,corners_into_box_unsuccessful,throw_ins_to_own_player,appearances,long_passes_unsuccessful,clearances_total,goals_home,goals_away,goals_win,clean_sheets,shots_off_target,crosses_open_play_successful,crosses_corners_successful,through_balls,throw_ins_to_opposition_player,assists,goals_conceded_outside_box,launches_successful,assists_intentional,yellow_cards,sub_off,handballs_conceded,gk_distribution_successful,gk_distribution_unsuccessful,saves_made_parried,punches,saves_made_outside_box,goalkicks_total,gk_smother,saves_made_inside_box,saves_made,woodwork_hit,penalties_conceded,offsides,goals_left_foot,corners_into_box_successful,penalties_taken,lay_offs_unsuccessful,goals_right_foot,penalties_won,penalty_goals,saves_made_caught,tackle_last_man,tackles_last_man,catches,penalties_faced,own_goals,red_cards_total,red_cards_2nd_yellow,goals_outside_box,attempts_from_set_pieces,last_updated
453,9,2023,3,5,1,3,7,3,37,20,27,166,9,32,32,1,2,74,76,1,8,39,1,21,7,24,106,5,108,7,3,42,59,11,28,6,2,5,74,1,2,3,3,2,246,2,18,1,33,1,3,1,9,2,15,2,21,5,2,12,46,3,4,1,11,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
452,9,2023,12,0,0,2,5,1,132,11,57,630,2,96,71,0,19,233,253,3,6,127,1,95,38,23,347,12,349,13,15,87,148,13,57,7,9,31,251,3,11,18,13,0,962,20,64,0,75,0,5,6,12,2,106,14,18,9,4,57,175,19,0,92,13,39,29,0,0,0,1,2,6,6,1,13,2,3,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
57,9,2023,0,0,0,0,0,0,24,3,0,66,1,17,10,0,0,19,26,0,0,2,0,18,7,0,10,1,43,0,5,1,17,3,1,0,0,0,7,0,2,5,0,0,181,7,1,0,1,0,0,0,0,0,8,0,0,0,0,1,32,4,0,0,3,16,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,5,2,2,2,19,1,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
465,9,2023,0,0,0,1,3,0,0,0,1,15,2,4,5,0,0,3,3,0,1,3,0,3,0,5,7,1,7,1,1,7,10,2,4,2,1,0,3,0,0,1,1,0,52,0,2,0,4,0,1,0,3,1,2,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
85,9,2023,5,0,0,6,3,0,62,5,25,307,4,61,47,0,0,118,135,2,7,75,0,44,19,18,194,3,196,5,6,36,89,9,37,9,4,5,133,1,5,6,5,0,518,17,18,0,24,1,3,2,12,1,60,1,15,2,4,9,106,9,0,40,9,24,13,0,0,0,1,2,2,2,1,17,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
784,9,2023,7,0,0,6,17,5,124,108,68,712,0,125,109,0,19,231,250,1,14,129,0,79,47,56,371,6,375,31,17,102,227,15,78,4,24,26,246,4,15,20,31,0,1316,19,46,0,85,0,13,0,17,10,4,10,43,7,8,42,195,27,0,86,15,47,38,0,0,0,2,1,3,3,1,31,0,3,6,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
777,9,2023,3,0,0,4,9,2,12,12,18,109,9,16,15,0,4,40,41,3,7,29,1,20,3,20,53,3,57,2,6,38,36,10,12,3,0,7,37,0,1,6,2,1,154,1,18,0,33,1,2,0,5,5,5,5,18,8,1,15,22,4,0,0,10,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
703,9,2023,1,0,0,2,2,1,2,5,3,50,2,10,8,0,2,8,8,0,3,7,0,8,5,10,18,1,18,3,3,17,23,3,10,1,1,3,8,0,1,3,3,0,99,0,7,0,13,0,3,0,4,1,2,2,7,2,1,6,8,0,0,3,3,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
458,9,2023,4,0,0,2,3,1,5,13,9,79,0,21,16,0,6,21,23,0,2,19,0,13,8,15,44,2,44,3,2,34,28,2,18,6,0,10,23,0,2,2,3,0,151,2,19,0,21,3,7,0,13,2,5,1,8,6,2,13,17,3,0,0,2,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
294,9,2023,9,27,8,11,24,9,44,50,53,484,0,85,83,1,5,153,157,37,27,127,22,52,17,87,220,22,242,15,16,169,164,15,65,36,4,14,140,4,15,19,12,3,1209,4,82,8,108,3,25,1,61,8,62,10,62,78,18,46,77,8,3,5,15,20,14,1,7,2,0,15,4,14,3,1,2,3,1,2,3,11,2,0,0,0,0,0,0,0,0,0,0,1,6,2,10,4,2,5,2,4,0,0,0,0,0,0,0,0,0,0,2023-07-10
