player_id,player_id,player_match_name,player_position,team_id,season,corners_into_box_successful,games_played,short_passes_successful,shots_off_target,passes_opposition_half_unsuccessful,corners_into_box_unsuccessful,clean_sheets,crossses_corners_unsuccessful,goals_conceded_outside_box,through_balls,duels_aerial,duels_ground,open_play_crosses_unsuccessful,goals_conceded,successful_passes_total,recoveries,handballs_conceded,tackled,duels,appearances,tackles_lost,duels_won,passes_unsuccessful,passes_rightside,overruns,short_passes_unsuccessful,passes_backwards,passes_open_play,key_passes,shots_on_target,open_play_passes_successful,crosses_corners_successful,lay_offs_successful,passes_own_half_unsuccessful,launches_successful,tackles_won,goals_inside_box,minutes,starts,long_passess_successful,sub_on,loss_of_possession_total,goals_conceded_inside_box,goals_right_foot,duels_lost,lay_offs_unsuccessful,shots_total,total_fouls_won,fouls_conceded_total,tackles_total,passes_forward,yellow_cards,touches_total_opposition_box,goals_left_foot,passes_own_half_successful,passes_total,passess_leftside,dribbles_unsuccessful,crosses_open_play_successful,corners_won,interceptions,dribbles_successful,aerial_duels_lost,assists,duels_ground_lost,passess_opp_half_successful,goals,long_passes_unsuccessful,clearances_total,goals_outside_box,touches,ground_duels_won,corners_taken,assists_intentional,sub_off,foul_attempted_tackle,launches_unsuccessful,shots_blocked,aerial_duels_won,goals_home,goals_away,goals_win,woodwork_hit,goal_line_clearances,goals_conceded_penalty,offsides,throw_ins_to_own_player,blocks,penalties_conceded,attempts_from_set_pieces,goals_other,goals_head,own_goals,throw_ins_to_opposition_player,penalties_won,assists_second,gk_distribution_successful,goalkicks_total,penalty_goals,penalties_taken,penalties_saved,saves_made_inside_box,gk_smother,saves_made,catches,punches,saves_made_caught,penalties_faced,saves_made_outside_box,saves_penalty,saves_made_parried,gk_distribution_unsuccessful,drops,last_updated,,
5,5,K. Strom,Defender,7,2024,0,28,1392,4,138,0,13,2,4,0,73,112,2,22,1442,134,1,14,185,28,16,112,228,615,0,127,68,1608,9,2,1383,0,0,92,18,24,0,2428,27,50,1,266,18,0,73,0,6,23,17,40,696,2,22,0,1034,1670,291,4,0,1,44,8,32,2,41,408,0,101,97,0,2009,71,0,2,0,9,64,0,41,0,0,0,1,0,1,1,16,15,0,0,,0,0,7,0,0,4,4,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
9,9,B. Ratcliffe,Attacker,9,2024,0,25,106,9,34,0,1,10,1,0,13,57,10,6,110,32,1,23,70,25,5,29,32,12,1,30,39,139,5,9,107,2,2,8,2,6,3,528,3,4,22,81,5,2,41,0,18,8,2,11,41,1,24,1,38,142,50,13,2,7,4,7,10,0,31,74,3,2,7,0,273,26,3,0,2,0,1,3,3,0,3,2,2,0,1,4,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25,,
17,17,S. Farrelly,Midfielder,5,2024,0,1,7,0,2,0,0,0,0,0,0,2,0,1,7,1,0,0,2,1,0,1,2,3,0,2,1,9,0,0,7,0,0,0,0,0,0,1,0,0,1,3,1,0,1,0,0,0,1,0,3,0,1,0,1,9,2,0,0,0,0,1,0,0,1,6,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
22,22,M. Zerboni,Midfielder,5,2024,0,15,78,0,21,0,0,0,0,0,6,45,0,2,81,14,1,16,51,15,3,18,28,20,1,24,24,108,4,0,80,0,0,7,2,6,0,195,0,3,15,56,2,0,33,0,0,4,6,9,44,1,3,0,40,109,21,6,0,2,1,3,4,0,29,41,0,4,2,0,176,16,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
26,26,C. Westphal,Defender,16,2024,0,15,251,0,79,0,2,10,0,0,6,42,9,8,265,49,0,16,48,15,4,19,91,26,0,73,54,354,9,0,263,4,0,22,7,7,0,725,8,14,7,148,8,0,29,0,0,1,2,11,168,1,2,0,131,356,108,8,4,3,7,5,4,0,25,138,0,18,14,0,554,17,0,0,3,1,8,0,2,0,0,0,0,,0,1,74,7,1,0,0,0,0,23,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
28,28,D. Colaprico,Midfielder,16,2024,0,23,572,8,106,0,4,5,2,0,26,109,5,19,596,99,1,10,135,23,15,86,146,177,2,109,143,739,10,3,593,3,12,45,5,23,0,1558,18,24,5,179,17,0,49,0,11,31,18,38,274,3,21,0,297,742,148,1,3,1,31,5,13,0,36,302,0,37,22,0,974,73,0,0,8,13,25,2,13,0,0,0,0,,1,0,3,4,0,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
32,32,C. Krueger,Defender,9,2024,0,25,490,4,173,2,4,37,4,0,40,150,35,22,530,109,0,42,190,25,9,97,219,236,3,141,133,728,17,1,511,5,0,83,11,27,1,1976,23,40,2,385,18,1,93,0,5,23,18,36,332,2,22,0,294,749,48,22,5,7,28,19,21,3,72,241,1,78,42,0,1310,78,10,1,8,8,49,7,19,1,0,1,2,1,2,2,164,9,0,0,,0,0,41,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25,,
42,42,C. Press,Attacker,15,2024,0,9,50,2,17,0,0,3,0,0,5,29,3,6,55,12,0,13,34,9,1,11,18,12,2,13,19,71,2,3,53,0,2,4,0,4,1,196,1,5,8,42,6,0,23,1,5,0,3,5,21,0,22,1,24,73,21,6,0,2,2,5,4,0,19,31,1,5,0,0,133,10,1,0,1,1,5,5,1,0,1,0,0,0,0,2,1,0,0,0,,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
44,44,A. Naeher,Goalkeeper,2,2024,0,25,382,0,83,0,6,0,6,0,3,7,0,38,536,222,0,0,10,25,0,7,228,160,0,17,0,387,0,0,330,0,0,145,52,0,0,2222,25,154,0,232,32,0,3,0,0,4,0,0,421,0,0,0,494,764,183,0,0,0,0,0,0,0,3,42,0,211,19,0,1026,4,0,0,1,0,74,0,3,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,,283,259,0,0,,50,4,87,12,6,2,3,35,,11,103,3,3/12/25,,
45,45,A. Wright,Defender,14,2024,0,22,879,0,104,0,4,7,6,1,40,50,7,30,923,96,0,13,90,22,9,48,164,240,0,101,60,1035,3,2,876,1,0,67,10,9,0,1810,21,44,1,203,24,0,42,0,2,4,6,18,445,1,8,0,635,1087,342,6,1,1,33,8,21,0,21,289,0,63,79,0,1361,29,0,0,0,4,25,1,19,0,0,0,0,0,3,2,30,13,1,0,,0,1,4,0,0,2,2,0,0,,0,0,0,0,0,,0,0,,0,0,0,3/12/25,,
