player_id,team_id,season,passes_opposition_half_unsuccessful,throw_ins_to_own_player,tackles_total,short_passes_successful,penalties_conceded,goals_conceded,crosses_corners_successful,passes_unsuccessful,assists,goals_conceded_outside_box,clearances_total,tackled,sub_on,shots_on_target,passes_total,dribbles_unsuccessful,passes_backwards,interceptions,duels_ground_lost,appearances,launches_unsuccessful,passess_opp_half_successful,open_play_passes_successful,shots_total,yellow_cards,minutes,passess_leftside,key_passes,starts,assists_intentional,touches,loss_of_possession_total,total_fouls_won,open_play_crosses_unsuccessful,long_passess_successful,passes_own_half_unsuccessful,shots_blocked,passes_own_half_successful,duels_won,offsides,duels_ground,goalkicks_total,successful_passes_total,ground_duels_won,duels_lost,goals_conceded_penalty,foul_attempted_tackle,shots_off_target,gk_distribution_unsuccessful,dribbles_successful,passes_rightside,aerial_duels_lost,short_passes_unsuccessful,touches_total_opposition_box,passes_open_play,crosses_open_play_successful,tackles_lost,long_passes_unsuccessful,recoveries,aerial_duels_won,duels,crossses_corners_unsuccessful,launches_successful,games_played,fouls_conceded_total,blocks,passes_forward,duels_aerial,tackles_won,clean_sheets,handballs_conceded,goals_conceded_inside_box,goals_win,sub_off,woodwork_hit,lay_offs_successful,through_balls,corners_into_box_successful,corners_taken,goals,attempts_from_set_pieces,goals_inside_box,goals_right_foot,corners_won,overruns,goals_home,goals_away,throw_ins_to_opposition_player,goals_head,lay_offs_unsuccessful,penalties_won,corners_into_box_unsuccessful,goals_left_foot,gk_distribution_successful,last_player_tackle,goal_line_clearances,own_goals,drops,saves_made_inside_box,saves_made_outside_box,saves_made_caught,catches,punches,saves_made_parried,gk_smother,penalties_faced,saves_made,goals_outside_box,penalty_goals,penalties_taken,red_cards_total,red_cards_straight,last_updated
850,2,2024,105,1,13,504,1,27,1,173,1,4,83,6,1,1,727,3,49,12,21,17,47,123,532,2,3,1449,139,7,16,1,911,194,3,1,50,69,1,432,39,2,38,1,554,17,36,2,1,1,1,1,248,15,83,17,696,1,4,90,59,22,75,1,15,17,8,16,291,37,9,5,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,2,2024,1,0,3,4,0,1,0,2,0,0,0,4,0,0,6,1,1,0,7,1,0,3,4,0,0,45,1,1,1,0,15,7,0,0,0,1,0,1,3,0,10,0,4,3,8,0,0,0,0,0,3,1,1,0,6,0,0,1,0,0,11,0,0,1,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
743,2,2024,68,0,34,223,0,13,4,91,0,4,12,21,9,1,328,14,55,8,48,18,9,124,234,3,2,791,82,5,9,0,484,136,11,2,14,25,0,117,64,0,97,0,237,49,66,0,11,2,0,4,64,18,75,8,324,2,13,16,62,15,130,2,2,18,15,3,127,33,21,1,1,9,0,7,1,3,1,2,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
465,2,2024,35,24,13,94,0,9,0,53,0,1,23,11,5,0,155,7,23,8,19,8,8,45,100,1,0,420,23,1,3,0,297,89,0,2,8,20,2,57,24,0,43,0,102,24,24,1,1,1,0,11,23,5,35,1,152,0,5,18,24,0,48,2,5,8,4,3,86,5,8,0,0,8,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
716,2,2024,90,8,19,211,0,23,8,113,2,5,25,37,9,6,331,23,97,17,63,24,24,102,216,18,4,1377,88,6,15,2,598,205,24,12,7,38,1,124,72,5,122,0,218,59,81,2,15,12,0,16,41,18,80,42,329,5,8,33,70,13,153,15,2,24,20,2,105,31,11,0,0,18,0,10,1,3,0,3,8,1,0,1,0,13,1,1,0,8,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
854,2,2024,20,0,7,42,0,5,1,28,1,1,2,11,14,1,70,5,19,2,15,15,3,25,38,4,0,215,14,3,1,0,134,52,3,1,0,9,0,18,22,2,26,0,42,11,28,0,2,3,0,1,14,13,25,10,66,1,4,3,8,11,50,1,0,15,3,0,23,24,3,0,0,4,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
633,2,2024,6,0,3,6,0,1,0,10,0,1,3,2,3,2,16,2,3,1,5,3,0,3,6,3,1,95,1,0,0,0,33,12,1,0,0,4,0,3,8,0,11,0,6,6,9,0,2,1,0,2,1,4,9,4,16,0,1,1,5,2,17,0,0,3,3,0,11,6,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
642,2,2024,18,12,7,54,0,5,2,19,0,0,9,15,11,2,76,7,14,3,16,11,4,36,57,5,1,233,26,1,0,0,165,51,5,3,3,4,0,23,17,1,29,0,57,13,18,0,1,3,0,1,7,2,14,7,76,2,2,5,10,4,35,3,0,11,1,0,29,6,5,0,0,5,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
853,2,2024,74,1,30,279,0,20,2,127,0,1,26,9,4,1,420,4,61,22,37,17,12,120,292,4,2,1156,101,4,13,0,608,155,9,2,14,55,1,175,89,0,79,0,293,42,80,1,10,3,0,3,93,43,107,9,419,2,9,20,54,47,169,2,2,17,17,14,165,90,21,5,0,19,0,4,1,7,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
359,2,2024,16,2,13,29,0,3,0,16,0,0,2,11,6,1,46,4,15,5,14,9,3,16,30,3,0,231,10,1,3,0,121,48,4,3,1,4,2,14,24,0,34,0,30,20,22,0,2,2,0,3,9,8,13,10,46,0,2,3,5,4,46,4,0,9,2,0,12,12,11,0,0,3,0,3,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
