player_id,team_id,season,total_fouls_won,shots_off_target,through_balls,tackles_won,overruns,goals_conceded_outside_box,passes_own_half_unsuccessful,short_passes_unsuccessful,goals_conceded_inside_box,crosses_corners_successful,successful_passes_total,duels_ground_lost,long_passes_unsuccessful,passes_rightside,launches_unsuccessful,passess_leftside,minutes,passes_own_half_successful,loss_of_possession_total,duels_lost,foul_attempted_tackle,dribbles_successful,aerial_duels_won,games_played,sub_off,fouls_conceded_total,sub_on,goals_conceded_penalty,clearances_total,lay_offs_successful,throw_ins_to_opposition_player,passes_forward,tackles_total,tackles_lost,interceptions,open_play_passes_successful,throw_ins_to_own_player,blocks,yellow_cards,open_play_crosses_unsuccessful,crossses_corners_unsuccessful,corners_won,appearances,clean_sheets,passes_opposition_half_unsuccessful,passess_opp_half_successful,shots_on_target,recoveries,assists,goals_conceded,offsides,starts,key_passes,dribbles_unsuccessful,crosses_open_play_successful,passes_unsuccessful,passes_backwards,short_passes_successful,ground_duels_won,duels,shots_blocked,tackled,touches,duels_ground,duels_aerial,duels_won,aerial_duels_lost,passes_open_play,shots_total,passes_total,touches_total_opposition_box,long_passess_successful,assists_intentional,goals_win,woodwork_hit,corners_into_box_unsuccessful,goals,corners_taken,goals_right_foot,corners_into_box_successful,goals_inside_box,launches_successful,handballs_conceded,attempts_from_set_pieces,penalties_conceded,lay_offs_unsuccessful,goals_home,goals_away,last_player_tackle,goals_left_foot,saves_made_outside_box,penalties_saved,gk_distribution_successful,gk_distribution_unsuccessful,saves_penalty,saves_made,punches,saves_made_parried,goalkicks_total,penalties_faced,catches,saves_made_inside_box,penalties_won,goals_outside_box,goal_line_clearances,own_goals,penalty_goals,penalties_taken,goals_head,goals_set_piece,last_updated
541,4,2024,18,10,1,8,3,4,24,72,19,4,187,93,15,55,9,62,1347,78,259,111,8,11,15,24,9,17,10,2,12,4,13,77,16,8,7,176,34,3,3,27,27,18,24,1,90,113,6,63,1,23,11,14,8,28,4,87,80,186,45,171,10,68,624,138,33,60,18,263,16,274,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
857,4,2024,28,6,1,20,2,3,25,78,18,14,275,73,20,86,9,95,1186,113,193,96,23,11,7,24,11,31,9,3,9,7,0,94,28,8,15,260,5,3,3,9,32,9,24,0,105,176,8,57,1,21,3,15,18,14,2,98,98,260,67,170,3,26,641,140,30,74,23,356,14,373,33,15,1,0,2,17,1,32,1,12,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,4,2024,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,2,8,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,2,0,0,8,2,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,4,2024,11,2,2,16,3,1,20,60,6,12,247,48,8,77,3,74,840,110,152,52,10,18,1,12,9,18,2,0,1,8,2,78,17,1,3,230,2,0,3,6,26,5,12,0,74,149,3,36,0,7,2,10,14,10,3,68,86,240,46,99,3,23,497,94,5,47,4,296,5,315,23,7,0,1,0,11,2,19,0,5,2,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
700,4,2024,3,2,0,2,1,0,10,24,7,0,126,13,3,33,3,45,359,65,56,19,0,1,2,17,2,1,15,1,3,7,0,28,3,1,3,125,0,0,0,1,3,2,17,0,20,61,1,26,0,7,0,2,5,4,0,27,47,124,7,28,0,10,212,20,8,9,6,152,3,153,9,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
279,4,2024,2,0,0,1,0,5,125,12,34,0,680,0,212,203,106,256,2250,615,233,0,0,0,2,25,0,0,0,4,19,0,0,444,4,3,0,468,0,0,2,0,0,0,25,8,99,65,0,233,0,39,0,25,1,0,0,224,1,504,6,8,0,0,1209,6,2,8,0,573,0,904,0,176,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,35,1,281,56,1,113,9,17,199,5,21,78,0,0,0,0,0,0,0,0,2025-03-12
106,4,2024,7,1,0,7,0,2,22,29,10,1,141,14,23,61,16,5,542,90,67,20,5,0,5,8,2,7,2,2,20,0,5,107,13,6,17,136,34,4,2,2,2,0,8,2,32,52,0,21,0,12,1,6,3,2,1,52,20,130,20,45,0,2,323,34,11,25,6,187,1,193,0,11,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
636,4,2024,2,0,0,2,2,1,14,30,7,1,42,12,7,42,4,1,328,18,64,17,0,3,1,7,5,0,2,1,1,1,0,21,3,1,2,42,4,0,0,9,9,4,7,0,32,25,3,16,0,8,1,5,1,6,1,37,15,40,8,26,1,10,134,20,6,9,5,79,3,79,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
787,4,2024,0,0,0,5,0,4,31,34,16,0,289,9,54,64,31,111,804,203,99,16,3,1,7,11,1,3,2,3,45,1,1,181,13,8,9,277,1,9,1,2,2,1,11,2,59,86,3,36,0,20,0,9,2,0,0,88,21,253,14,37,2,2,481,23,14,21,7,360,3,377,5,36,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,4,2024,0,0,0,0,0,0,6,1,3,0,20,0,5,7,4,10,90,20,6,0,0,0,0,1,0,0,0,0,3,0,0,9,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,5,0,3,0,1,0,0,0,6,0,12,0,0,0,0,38,0,0,0,0,11,0,26,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,13,0,0,5,1,1,9,0,0,3,0,0,0,0,0,0,0,0,2025-03-12
