player_id,team_id,season,handballs_conceded,fouls_conceded_total,tackles_won,passes_forward,passes_total,duels_aerial,goals_inside_box,goals_conceded,goals_conceded_inside_box,duels_ground_lost,minutes,crossses_corners_unsuccessful,duels,successful_passes_total,passes_opposition_half_unsuccessful,assists,short_passes_unsuccessful,shots_blocked,sub_off,foul_attempted_tackle,shots_off_target,key_passes,ground_duels_won,open_play_crosses_unsuccessful,passes_open_play,long_passess_successful,aerial_duels_lost,launches_successful,passess_leftside,duels_won,shots_total,goals_left_foot,blocks,dribbles_successful,interceptions,launches_unsuccessful,assists_second,passes_own_half_unsuccessful,goals_conceded_penalty,loss_of_possession_total,touches,passess_opp_half_successful,recoveries,starts,throw_ins_to_own_player,crosses_corners_successful,dribbles_unsuccessful,long_passes_unsuccessful,clearances_total,duels_ground,short_passes_successful,tackles_lost,passes_own_half_successful,goals_conceded_outside_box,corners_won,passes_backwards,goals,tackles_total,through_balls,aerial_duels_won,crosses_open_play_successful,games_played,touches_total_opposition_box,passes_unsuccessful,sub_on,duels_lost,open_play_passes_successful,clean_sheets,tackled,appearances,passes_rightside,shots_on_target,throw_ins_to_opposition_player,goals_home,goals_away,goals_win,total_fouls_won,goals_right_foot,own_goals,assists_intentional,lay_offs_successful,offsides,yellow_cards,lay_offs_unsuccessful,goals_outside_box,woodwork_hit,overruns,goal_line_clearances,penalties_won,corners_into_box_unsuccessful,corners_into_box_successful,corners_taken,attempts_from_set_pieces,penalties_taken,penalty_goals,goals_set_piece,goals_head,saves_made,gk_smother,penalties_faced,gk_distribution_successful,drops,catches,saves_made_parried,saves_made_inside_box,penalties_conceded,saves_made_caught,gk_distribution_unsuccessful,saves_made_outside_box,goalkicks_total,punches,crosses_not_claimed,last_updated
365,13,2024,1,8,14,222,518,35,1,18,15,21,1216,1,80,411,61,3,59,1,2,2,1,3,24,1,496,36,13,12,183,46,3,1,15,1,17,27,1,47,1,122,701,113,41,12,9,1,3,48,66,45,375,9,299,3,1,31,1,23,1,22,1,19,5,107,7,34,392,1,4,19,82,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
828,13,2024,0,9,6,241,691,24,1,17,13,15,1063,0,56,580,67,0,48,2,0,1,1,1,17,0,679,62,13,12,175,28,2,0,9,0,8,42,0,44,1,117,801,189,49,11,3,0,0,63,54,32,518,4,391,4,0,42,1,10,0,11,0,19,5,111,8,28,571,4,2,19,233,1,0,0,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
867,13,2024,1,38,30,119,564,46,19,31,28,195,2324,22,378,413,141,6,133,24,5,19,27,36,137,22,551,5,24,1,108,159,91,5,2,57,10,12,0,32,1,443,1235,320,149,26,3,4,68,18,15,332,408,22,97,3,27,158,21,52,2,22,4,27,246,151,1,219,400,10,141,27,179,64,1,14,7,7,28,16,0,2,9,18,1,2,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
487,13,2024,0,16,11,391,1288,32,0,33,31,30,1880,0,92,1097,131,0,79,2,3,13,3,4,30,0,1263,91,15,29,544,47,4,0,10,1,24,67,0,60,2,216,1495,220,93,21,1,1,1,112,78,60,1006,13,878,2,1,73,0,24,0,17,1,23,12,191,2,45,1074,6,7,23,280,1,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
751,13,2024,1,29,24,131,420,32,3,18,16,97,1502,46,218,282,148,3,117,16,14,15,13,22,89,45,414,13,17,0,155,104,24,2,2,21,17,9,1,36,1,291,831,202,86,17,28,11,28,21,8,186,269,14,91,2,15,97,3,38,5,15,10,23,81,138,6,114,276,0,54,23,37,11,5,2,1,0,30,1,0,3,4,3,2,1,0,0,4,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
47,13,2024,1,19,31,288,681,10,4,17,15,72,1726,58,146,504,189,6,136,8,20,16,18,35,64,21,652,32,7,5,124,67,28,1,1,6,31,20,0,46,0,317,1062,354,116,22,6,19,13,41,23,136,472,17,169,2,9,126,6,48,3,3,9,25,49,177,3,79,478,0,39,25,143,10,0,3,3,1,10,5,0,5,12,1,3,1,2,2,1,0,1,28,9,53,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
458,13,2024,0,9,15,119,279,30,1,8,7,36,576,4,108,199,62,0,63,5,3,7,8,8,42,4,276,6,19,1,63,53,13,0,0,10,10,12,0,22,1,113,430,126,50,6,2,3,3,17,15,78,193,12,76,1,1,46,1,27,1,11,3,18,20,80,12,55,196,1,12,18,51,5,0,1,0,0,5,0,0,0,2,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
193,13,2024,0,1,1,97,242,5,0,26,22,2,1530,0,8,186,21,0,2,0,0,1,0,0,1,0,128,40,1,9,94,5,0,0,0,0,0,24,0,35,1,58,387,11,108,17,0,0,0,54,16,3,146,0,175,4,0,0,0,1,0,4,0,17,0,56,0,3,102,4,0,17,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,1,141,1,6,11,28,1,1,17,19,85,8,0,2025-03-12
252,13,2024,0,0,0,6,15,3,1,3,2,1,88,0,6,11,3,0,4,2,1,0,0,0,2,0,12,0,2,0,3,3,1,1,0,1,0,0,1,1,0,7,28,5,0,0,0,1,0,0,1,3,11,0,7,1,1,4,1,0,0,1,1,4,5,4,4,3,8,0,1,4,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
865,13,2024,0,21,54,337,837,57,0,28,24,69,1827,3,235,640,152,1,157,13,11,15,14,14,109,3,823,41,28,6,150,138,24,0,5,20,38,25,0,48,1,263,1195,331,138,21,1,0,16,40,30,178,599,17,309,4,6,134,0,71,0,29,0,24,25,197,3,97,627,1,31,24,216,10,0,0,0,0,18,0,0,1,8,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,13,2024,0,2,2,1,23,0,0,2,2,6,43,1,10,19,4,0,3,1,0,2,3,2,4,1,23,1,0,0,8,4,3,0,0,1,0,0,0,1,0,8,37,9,4,0,0,0,1,1,0,10,18,1,10,0,0,6,0,3,0,0,0,3,2,4,3,6,19,0,3,3,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
64,13,2024,0,22,38,353,877,34,4,26,21,53,2056,10,176,639,183,1,166,6,6,17,19,21,89,10,836,47,16,10,184,107,30,1,3,8,37,34,1,65,1,295,1218,301,172,23,14,3,3,72,23,142,592,10,341,5,9,165,6,48,6,18,3,26,30,238,3,69,602,9,11,26,175,11,4,3,3,1,33,4,0,0,5,0,3,1,2,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
714,13,2024,0,17,10,72,183,21,2,10,9,47,476,13,103,110,68,0,59,4,4,12,10,3,35,7,174,6,10,1,43,46,19,1,1,8,2,9,0,18,0,149,365,79,36,4,1,2,14,14,6,82,104,5,33,1,4,35,2,15,0,11,2,14,22,73,10,57,101,0,23,14,33,9,0,0,2,1,12,1,0,0,0,4,2,1,0,1,3,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
