player_id,team_id,season,minutes,passes_open_play,touches,gk_distribution_successful,loss_of_possession_total,drops,short_passes_successful,passes_forward,short_passes_unsuccessful,saves_made,goalkicks_total,catches,long_passess_successful,launches_unsuccessful,clearances_total,launches_successful,saves_made_parried,goals_conceded_inside_box,passes_total,goals_conceded,saves_made_inside_box,punches,long_passes_unsuccessful,passes_rightside,appearances,saves_made_outside_box,open_play_passes_successful,passess_leftside,recoveries,successful_passes_total,starts,games_played,passess_opp_half_successful,passes_own_half_unsuccessful,saves_made_caught,passes_unsuccessful,gk_distribution_unsuccessful,passes_own_half_successful,passes_opposition_half_unsuccessful,goals_win,crossses_corners_unsuccessful,foul_attempted_tackle,tackled,overruns,woodwork_hit,duels_ground_lost,fouls_conceded_total,key_passes,duels_won,shots_blocked,throw_ins_to_own_player,touches_total_opposition_box,corners_won,passes_backwards,ground_duels_won,goals_conceded_outside_box,lay_offs_successful,dribbles_successful,lay_offs_unsuccessful,sub_off,tackles_total,tackles_lost,through_balls,sub_on,duels,offsides,duels_lost,tackles_won,goals,shots_total,goals_inside_box,shots_on_target,total_fouls_won,open_play_crosses_unsuccessful,shots_off_target,interceptions,duels_ground,duels_aerial,aerial_duels_won,aerial_duels_lost,yellow_cards,crosses_open_play_successful,crosses_corners_successful,dribbles_unsuccessful,goals_right_foot,goals_home,goals_away,clean_sheets,goals_left_foot,assists_intentional,throw_ins_to_opposition_player,goals_conceded_penalty,assists,blocks,last_player_tackle,penalties_won,corners_taken,handballs_conceded,corners_into_box_successful,corners_into_box_unsuccessful,attempts_from_set_pieces,penalty_goals,goals_set_piece,goals_outside_box,penalties_taken,penalties_conceded,penalties_faced,gk_smother,goals_head,goal_line_clearances,last_updated
738,15,2024,270,134,204,34,23,1,115,55,4,17,21,1,27,10,2,9,2,6,164,6,8,1,18,56,3,8,122,53,31,142,3,3,10,15,1,22,6,132,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
763,15,2024,679,146,337,0,142,0,98,42,43,0,0,0,1,4,11,0,0,8,150,9,0,0,8,39,21,0,95,35,20,99,7,21,66,12,0,51,0,34,46,0,7,4,42,3,1,61,14,9,49,2,1,49,7,34,21,1,7,7,1,7,10,3,1,14,130,8,81,7,1,16,1,7,4,7,9,2,82,48,28,20,3,1,1,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
833,15,2024,1595,844,1383,0,292,0,625,421,130,0,0,0,28,55,89,6,0,25,867,28,0,0,84,216,22,0,633,138,73,653,20,22,260,96,0,214,0,395,130,0,12,18,20,2,0,65,25,6,119,5,109,21,9,92,106,3,0,14,0,9,77,32,0,2,203,0,84,45,1,12,1,4,16,12,8,43,171,32,13,19,5,2,2,9,0,0,1,4,1,1,24,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
317,15,2024,1171,470,688,0,184,0,347,188,91,0,0,0,14,13,13,2,0,21,480,22,0,0,28,93,18,0,353,97,54,361,14,18,204,28,0,119,0,163,103,0,12,11,27,0,0,57,21,9,56,4,2,20,6,102,51,1,22,7,0,10,21,8,4,4,119,0,63,13,1,13,1,10,23,10,3,14,108,11,5,6,2,3,6,3,0,0,1,0,1,1,0,1,3,2,0,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,2025-03-12
241,15,2024,29,19,33,0,10,0,16,8,2,0,0,0,0,2,0,0,0,2,20,2,0,0,2,10,3,0,15,1,9,16,0,3,5,2,0,4,0,11,4,0,2,0,2,1,0,3,0,1,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,3,5,0,4,1,0,0,0,0,0,2,0,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
433,15,2024,1970,525,1122,0,462,0,379,197,132,0,0,0,13,10,20,1,0,28,559,31,0,0,35,97,26,0,362,109,106,392,24,26,317,38,0,167,0,119,266,2,137,15,92,6,1,129,25,40,87,9,8,69,27,156,76,3,5,23,1,13,32,13,3,2,228,6,141,19,7,28,5,22,21,77,6,6,205,23,11,12,3,16,44,44,5,5,2,2,2,2,0,1,2,2,0,0,87,1,23,47,6,3,1,2,4,0,0,0,0,0,2025-03-12
834,15,2024,975,226,417,0,117,0,157,103,66,0,0,0,2,7,9,1,0,18,240,20,0,0,15,42,19,0,145,37,42,159,10,19,86,19,0,81,0,76,66,0,4,8,16,0,1,34,8,8,62,9,1,36,6,58,55,2,3,4,1,6,23,11,1,9,110,1,48,12,1,11,1,6,29,4,5,8,89,21,7,14,1,3,3,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
53,15,2024,2058,1439,1765,2,299,0,1192,627,142,0,3,0,58,52,80,15,0,34,1499,37,0,0,107,268,24,0,1199,505,166,1250,24,24,360,111,0,249,1,890,140,0,2,5,17,1,0,29,8,2,75,2,7,3,1,99,61,3,1,7,0,2,29,9,1,0,123,0,48,20,0,1,0,1,26,2,0,22,90,33,14,19,0,0,0,4,0,0,0,2,0,0,7,2,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
485,15,2024,1381,692,902,0,172,0,539,207,91,0,0,0,34,15,21,0,0,19,695,22,0,0,31,186,23,0,570,168,92,573,15,23,239,49,0,122,0,334,75,0,2,14,24,1,0,53,21,6,59,3,2,22,0,134,46,3,10,10,0,7,26,11,2,8,126,0,67,15,0,6,0,2,10,2,4,16,99,27,13,14,5,0,0,4,0,0,0,1,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
229,15,2024,2070,695,1175,228,170,1,664,441,21,78,190,17,149,76,14,52,18,33,980,36,51,7,146,284,23,26,612,255,169,813,23,23,42,120,3,167,36,771,47,0,0,1,0,0,0,2,1,0,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,4,0,0,0,5,7,6,1,1,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,2025-03-12
