player_id,team_id,season,duels_won,dribbles_successful,assists_intentional,tackled,passes_forward,appearances,goals_conceded_penalty,yellow_cards,aerial_duels_lost,sub_on,successful_passes_total,fouls_conceded_total,crossses_corners_unsuccessful,touches_total_opposition_box,goals_conceded_outside_box,clearances_total,launches_successful,duels_ground_lost,recoveries,tackles_total,long_passess_successful,corners_taken,goals_head,duels_lost,goals_conceded,aerial_duels_won,passess_leftside,open_play_crosses_unsuccessful,goals_inside_box,open_play_passes_successful,shots_off_target,assists,tackles_lost,blocks,lay_offs_successful,loss_of_possession_total,shots_total,shots_on_target,tackles_won,passes_open_play,sub_off,duels_aerial,ground_duels_won,interceptions,overruns,short_passes_unsuccessful,touches,passes_opposition_half_unsuccessful,crosses_corners_successful,goals_conceded_inside_box,passes_backwards,passes_total,dribbles_unsuccessful,shots_blocked,passes_own_half_successful,foul_attempted_tackle,throw_ins_to_own_player,passes_own_half_unsuccessful,passes_rightside,total_fouls_won,key_passes,lay_offs_unsuccessful,games_played,duels,passess_opp_half_successful,starts,passes_unsuccessful,launches_unsuccessful,goals,duels_ground,short_passes_successful,minutes,long_passes_unsuccessful,goals_home,goals_away,goals_win,offsides,penalties_conceded,through_balls,penalties_won,goals_right_foot,goals_outside_box,corners_won,throw_ins_to_opposition_player,handballs_conceded,red_cards_2nd_yellow,goals_left_foot,penalty_goals,penalties_taken,crosses_open_play_successful,woodwork_hit,red_cards_total,clean_sheets,corners_into_box_successful,attempts_from_set_pieces,corners_into_box_unsuccessful,goal_line_clearances,goals_set_piece,assists_second,gk_distribution_successful,goalkicks_total,saves_made,gk_distribution_unsuccessful,penalties_faced,saves_made_parried,drops,punches,gk_smother,saves_made_inside_box,catches,saves_made_outside_box,own_goals,red_cards_straight,last_updated
772,14,2024,52,6,2,8,123,14,2,3,13,4,373,17,6,13,2,22,3,43,73,26,13,1,1,56,14,9,133,5,1,356,8,2,10,1,6,108,14,6,16,435,5,22,43,10,2,62,605,43,2,12,89,452,2,2,189,14,2,42,107,11,6,3,14,108,186,10,79,12,1,86,360,826,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
453,14,2024,3,1,0,2,7,3,1,1,2,2,30,2,1,2,0,2,0,6,0,1,1,0,0,8,2,1,9,1,0,30,0,0,0,0,0,10,0,0,1,36,1,3,2,0,0,3,47,5,0,2,11,36,0,0,23,1,0,2,9,0,0,0,3,11,7,1,6,2,0,8,29,85,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
895,14,2024,48,11,1,22,36,16,2,0,4,2,176,4,4,41,0,3,1,37,52,18,4,0,0,41,12,8,50,4,0,165,13,1,9,2,5,124,18,5,9,220,13,12,40,5,2,53,397,44,0,12,87,231,8,3,83,4,3,15,58,11,8,3,16,89,93,14,55,1,1,77,172,1051,2,1,0,0,11,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
426,14,2024,136,9,1,20,132,25,3,0,42,2,332,27,15,80,5,27,1,50,72,24,9,0,1,92,31,84,117,15,8,313,25,1,8,2,20,247,40,15,16,483,15,126,52,11,0,147,783,154,1,26,123,502,8,11,114,11,2,31,130,22,11,7,25,228,219,23,170,16,8,102,323,1808,23,6,2,1,9,0,0,0,6,0,7,3,2,1,1,3,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,14,2024,1,0,0,0,8,1,0,0,0,1,5,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,8,0,0,1,12,0,0,1,3,0,3,19,5,0,0,0,12,0,0,3,1,0,2,3,0,0,0,1,2,2,0,7,2,0,2,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
99,14,2024,75,25,3,54,132,26,1,1,16,8,396,8,36,78,5,20,2,78,84,20,12,10,0,94,25,12,146,25,3,385,22,3,10,3,11,301,36,14,10,536,15,28,63,13,3,129,945,147,15,20,158,548,30,8,174,3,24,41,112,18,23,2,26,169,237,18,152,14,4,141,384,1611,23,2,2,1,6,1,2,0,3,1,9,0,0,0,1,0,0,12,1,0,2,2,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
898,14,2024,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,5,0,0,1,1,3,0,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
686,14,2024,140,15,2,76,186,21,5,5,3,1,393,44,55,41,6,11,1,142,77,36,10,34,0,145,29,4,122,29,4,361,18,2,15,1,8,332,37,19,21,489,8,7,136,8,5,116,1008,170,21,23,136,526,33,15,138,28,5,18,82,86,27,2,21,285,276,20,133,6,5,278,383,1753,17,4,1,2,0,0,2,0,4,1,13,2,0,0,1,1,2,7,2,0,2,11,9,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
434,14,2024,43,11,0,17,207,23,3,0,7,3,650,2,11,26,6,22,8,26,132,20,23,1,0,33,29,2,205,11,1,634,4,2,12,2,11,165,8,4,8,747,6,9,41,10,2,83,954,84,3,23,195,763,2,4,354,1,22,40,156,10,11,0,23,76,299,20,113,19,1,67,627,1761,30,1,0,1,1,0,2,0,0,0,5,2,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
243,14,2024,67,0,0,9,371,26,5,0,13,0,1327,4,0,18,8,102,13,18,111,29,65,0,0,31,39,36,449,0,0,1295,2,2,14,36,0,166,5,3,15,1416,0,49,31,31,0,73,1802,56,0,31,69,1452,3,1,1052,2,69,69,563,2,2,0,26,98,275,26,125,36,0,49,1262,2340,52,0,0,0,2,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
