player_id,team_id,season,throw_ins_to_opposition_player,tackles_lost,corners_won,throw_ins_to_own_player,passess_opp_half_successful,goals_conceded,goals_conceded_inside_box,passes_opposition_half_unsuccessful,crossses_corners_unsuccessful,dribbles_unsuccessful,interceptions,passess_leftside,duels_lost,passes_open_play,passes_backwards,launches_successful,starts,passes_unsuccessful,successful_passes_total,minutes,clean_sheets,passes_forward,dribbles_successful,total_fouls_won,touches,aerial_duels_lost,fouls_conceded_total,long_passess_successful,shots_off_target,passes_rightside,goals,tackles_total,duels_ground,passes_total,games_played,duels_aerial,short_passes_successful,duels,shots_total,clearances_total,open_play_passes_successful,launches_unsuccessful,sub_on,tackles_won,open_play_crosses_unsuccessful,appearances,touches_total_opposition_box,long_passes_unsuccessful,goals_inside_box,goals_conceded_penalty,sub_off,aerial_duels_won,ground_duels_won,shots_on_target,tackled,passes_own_half_successful,blocks,short_passes_unsuccessful,loss_of_possession_total,goals_right_foot,recoveries,duels_won,passes_own_half_unsuccessful,duels_ground_lost,goals_home,goals_away,goals_win,gk_smother,gk_distribution_unsuccessful,drops,catches,gk_distribution_successful,saves_made_outside_box,goalkicks_total,saves_made_caught,key_passes,penalties_faced,goals_conceded_outside_box,saves_made_parried,saves_made,punches,saves_made_inside_box,crosses_open_play_successful,woodwork_hit,yellow_cards,shots_blocked,foul_attempted_tackle,crosses_corners_successful,goals_left_foot,lay_offs_unsuccessful,overruns,assists,lay_offs_successful,through_balls,offsides,assists_intentional,penalties_conceded,goals_outside_box,goals_head,handballs_conceded,attempts_from_set_pieces,corners_into_box_successful,corners_taken,assists_second,corners_into_box_unsuccessful,own_goals,penalty_goals,penalties_taken,red_cards_total,red_cards_2nd_yellow,last_player_tackle,goal_line_clearances,penalties_won,last_updated
870,5,2024,15,2,3,23,36,2,2,38,3,2,3,29,17,111,14,4,3,46,68,297,1,65,2,6,206,8,2,5,1,6,1,11,28,114,10,15,63,43,2,10,65,5,7,9,3,10,8,10,1,1,2,7,19,1,5,32,2,36,70,1,12,26,11,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,5,2024,0,0,0,0,82,18,16,99,0,1,0,353,3,855,0,57,24,232,868,2190,8,445,4,9,1347,1,0,239,0,302,0,0,14,1100,24,12,629,26,0,24,710,99,0,0,0,24,0,216,0,2,0,11,12,0,1,786,0,16,242,0,246,23,133,2,0,0,0,5,49,4,35,170,23,135,2,1,2,2,21,77,8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,5,2024,8,10,4,47,183,8,8,66,13,4,25,146,38,480,90,5,12,93,396,979,2,210,3,11,698,7,12,19,0,43,0,27,72,489,12,17,377,89,0,22,387,20,0,17,13,12,6,29,0,1,6,10,41,0,7,219,3,64,131,0,61,51,40,31,0,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,0,6,1,3,2,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
391,5,2024,3,11,0,6,307,15,13,128,4,3,21,123,39,991,64,13,18,173,863,1625,4,474,5,16,1277,19,9,95,2,375,1,35,76,1036,21,40,768,116,4,73,828,48,3,24,4,21,12,94,1,1,2,21,56,2,8,558,11,79,198,0,83,77,49,20,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,2,1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
215,5,2024,3,14,14,9,220,10,8,103,32,13,8,118,77,382,112,0,12,86,298,1059,0,111,8,10,655,16,14,4,3,43,1,44,123,384,20,26,294,149,12,7,296,6,8,30,32,20,58,13,1,1,11,10,62,9,37,87,1,73,202,1,57,72,15,61,1,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,9,0,2,4,14,9,0,1,3,2,1,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
17,5,2024,0,0,0,0,6,1,1,2,0,0,0,2,1,9,1,0,0,2,7,1,0,3,1,0,12,0,1,0,0,3,0,0,2,9,1,0,7,2,0,0,7,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
284,5,2024,21,6,3,66,160,8,6,81,11,8,11,81,29,343,50,3,9,98,253,902,0,186,10,12,579,4,7,13,2,34,1,21,68,351,18,10,240,78,4,14,247,10,9,15,11,18,6,25,0,2,6,6,43,2,15,100,1,73,158,1,57,49,28,25,0,1,1,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,7,0,3,1,3,7,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
830,5,2024,1,7,15,2,273,12,11,92,19,11,7,103,129,511,153,0,20,93,433,1791,3,132,14,11,815,47,24,6,22,138,10,13,120,526,23,62,427,182,45,6,419,3,3,6,18,23,101,14,9,2,10,15,38,23,54,162,0,79,219,7,84,53,20,82,4,6,2,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,2,3,1,18,10,2,0,2,3,4,13,2,17,4,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
526,5,2024,4,5,0,5,118,9,8,92,0,0,23,88,35,582,64,11,12,145,462,1115,3,276,3,8,764,18,10,28,1,179,1,13,40,607,17,50,434,90,2,52,441,39,5,8,0,17,12,63,1,2,4,32,23,1,1,344,2,82,161,0,43,55,53,17,1,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,2,0,7,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
402,5,2024,0,6,2,2,38,7,7,28,2,9,3,10,23,95,31,0,3,30,67,307,0,21,2,1,174,2,2,0,0,35,1,14,38,97,11,4,67,42,1,4,65,1,8,8,2,11,7,2,1,1,3,2,17,1,16,30,1,28,60,1,12,19,4,21,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
261,5,2024,4,9,10,9,416,13,11,148,43,30,10,155,101,659,167,1,18,126,565,1596,3,216,14,11,1066,11,10,13,17,153,8,35,148,691,23,31,552,179,48,7,535,4,5,26,15,23,87,10,7,1,10,20,58,31,64,170,0,116,293,5,88,78,21,90,7,1,4,0,0,0,0,0,0,0,0,30,0,2,0,0,0,0,3,2,1,13,6,21,2,1,5,1,11,1,3,0,0,1,1,0,0,15,43,2,24,0,0,0,0,0,0,0,0,2025-03-12
