player_id,team_id,season,aerial_duels_lost,games_played,punches,penalties_saved,long_passes_unsuccessful,saves_made_parried,gk_distribution_unsuccessful,minutes,successful_passes_total,launches_unsuccessful,saves_made,passes_open_play,passes_own_half_successful,duels,drops,clearances_total,open_play_passes_successful,short_passes_successful,catches,passes_forward,passes_opposition_half_unsuccessful,passess_opp_half_successful,recoveries,long_passess_successful,duels_aerial,short_passes_unsuccessful,passess_leftside,duels_won,gk_distribution_successful,goals_conceded,goalkicks_total,passes_rightside,saves_made_outside_box,appearances,touches,duels_ground,penalties_faced,passes_own_half_unsuccessful,launches_successful,passes_total,goals_conceded_inside_box,duels_ground_lost,aerial_duels_won,duels_lost,loss_of_possession_total,saves_made_inside_box,passes_unsuccessful,saves_penalty,goals_conceded_outside_box,starts,goals_win,ground_duels_won,goals_right_foot,key_passes,dribbles_unsuccessful,lay_offs_unsuccessful,corners_won,goals_outside_box,penalties_conceded,touches_total_opposition_box,shots_total,open_play_crosses_unsuccessful,crosses_open_play_successful,throw_ins_to_own_player,shots_blocked,assists,corners_into_box_unsuccessful,overruns,tackles_lost,crossses_corners_unsuccessful,sub_off,goals_conceded_penalty,shots_off_target,blocks,woodwork_hit,corners_taken,assists_intentional,lay_offs_successful,interceptions,attempts_from_set_pieces,offsides,clean_sheets,passes_backwards,tackled,through_balls,crosses_corners_successful,tackles_total,dribbles_successful,goals_inside_box,goals,sub_on,foul_attempted_tackle,total_fouls_won,goals_left_foot,fouls_conceded_total,yellow_cards,corners_into_box_successful,goal_line_clearances,shots_on_target,tackles_won,goals_home,goals_away,handballs_conceded,penalties_won,saves_made_caught,last_player_tackle,throw_ins_to_opposition_player,penalties_taken,penalty_goals,red_cards_total,red_cards_2nd_yellow,goals_head,last_updated
390,8,2024,1,5,2,1,40,1,10,450,147,19,15,134,133,4,2,2,111,111,7,88,17,14,40,36,3,2,67,2,45,10,34,34,4,5,238,1,1,25,3,189,9,1,2,2,43,11,42,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
99,8,2024,16,26,0,0,23,0,0,1611,396,14,0,536,174,169,0,20,385,384,0,132,147,237,84,12,28,129,146,75,0,25,0,112,0,26,945,141,0,41,2,548,20,78,12,94,301,0,152,0,5,18,0,63,3,23,30,2,9,1,1,78,36,25,12,24,8,3,7,3,10,36,15,1,22,3,1,10,3,11,13,2,6,2,158,54,2,15,20,25,3,4,8,3,18,1,8,1,2,1,14,10,2,2,0,0,0,0,0,0,0,0,0,0,2025-03-12
676,8,2024,12,25,0,0,49,0,0,2084,985,24,0,1114,463,185,0,26,956,908,0,389,162,543,188,77,24,114,288,111,0,31,0,307,0,25,1500,161,0,45,6,1148,29,62,12,74,245,0,163,0,2,24,0,99,2,34,5,0,9,0,0,16,5,7,3,7,4,3,27,0,23,44,5,0,1,13,0,47,2,8,38,0,1,5,164,19,1,21,66,17,2,2,1,25,16,0,34,0,14,2,4,43,2,0,3,0,0,0,0,0,0,0,0,0,2025-03-12
NA,8,2024,11,10,0,0,2,0,0,233,17,1,0,25,9,46,0,4,14,17,0,4,10,8,4,0,19,9,8,17,0,1,0,8,0,10,83,27,0,2,0,28,1,18,8,29,29,0,11,0,0,2,1,9,1,3,7,0,3,0,0,20,8,1,0,0,5,0,0,1,0,1,2,0,7,1,1,0,0,2,1,0,3,0,8,10,0,0,2,2,1,1,8,2,5,0,6,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2025-03-12
768,8,2024,18,14,0,0,7,0,0,453,109,3,0,173,39,71,0,6,108,109,0,53,52,71,21,0,33,58,48,28,0,7,0,26,0,14,263,38,0,19,0,174,6,25,15,43,107,0,65,0,1,4,1,13,2,2,10,0,5,0,0,22,8,6,1,1,1,0,0,0,3,6,3,0,1,0,1,0,0,7,0,0,4,1,47,21,2,1,7,1,2,2,10,1,6,0,3,0,0,0,7,4,1,1,1,0,0,0,0,0,0,0,0,0,2025-03-12
893,8,2024,24,26,0,0,18,0,0,1774,608,4,0,738,266,259,0,8,588,577,0,256,130,346,102,31,33,133,185,128,0,27,0,158,0,26,1109,226,0,36,4,759,23,107,9,131,257,0,151,0,4,22,0,119,0,23,25,0,5,0,0,30,14,9,1,5,5,1,5,4,24,15,16,0,8,6,0,7,0,5,19,0,1,3,160,52,2,4,68,14,0,0,4,15,37,0,24,3,2,0,6,44,0,0,1,1,0,0,0,0,0,0,0,0,2025-03-12
789,8,2024,4,8,0,0,5,0,0,286,88,3,0,115,52,18,0,0,87,86,0,38,19,36,13,2,6,23,21,8,0,4,0,30,0,8,150,12,0,9,0,116,4,6,2,10,36,0,28,0,0,3,0,6,0,1,1,0,0,0,0,2,1,0,0,0,2,0,0,0,4,0,3,0,1,2,0,0,0,0,1,0,0,0,27,3,0,0,6,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
566,8,2024,0,22,3,0,248,5,73,1980,339,134,73,304,284,5,2,14,193,223,18,411,140,55,181,116,2,9,126,4,188,27,186,59,22,22,782,3,0,117,33,596,24,1,2,1,259,51,257,0,3,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2025-03-12
309,8,2024,17,21,0,0,99,0,0,1809,831,59,0,978,593,117,0,99,811,763,0,423,108,239,80,68,32,71,367,58,0,32,0,162,0,21,1273,85,0,64,15,1001,28,42,15,59,190,0,170,0,4,20,0,43,0,10,2,0,2,0,0,10,3,2,1,14,4,2,0,0,14,2,2,0,3,22,2,0,1,0,33,0,0,6,49,6,0,1,34,3,0,0,1,11,6,0,22,6,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
205,8,2024,7,12,0,0,11,0,0,248,129,5,0,159,69,29,0,4,124,123,0,46,24,62,23,6,7,24,24,9,0,5,0,69,0,12,238,22,0,14,2,164,4,13,0,20,52,0,35,0,1,2,0,9,0,4,5,0,1,0,0,0,2,3,2,20,0,1,0,0,2,3,2,0,2,1,0,0,1,2,5,0,0,0,25,8,0,2,6,2,0,0,10,1,1,0,2,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,2025-03-12
886,8,2024,3,19,0,0,7,0,0,741,146,3,0,219,57,108,0,4,146,143,0,51,66,92,38,3,7,66,47,56,0,7,0,56,0,19,423,101,0,21,0,219,6,49,4,52,150,0,73,0,1,6,0,52,1,10,11,2,9,0,0,38,21,14,3,7,4,1,0,3,10,14,6,0,6,1,1,0,1,5,6,0,6,0,65,21,3,3,32,12,2,2,13,7,8,1,12,2,0,0,15,22,1,1,0,0,0,0,0,0,0,0,0,0,2025-03-12
890,8,2024,0,1,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
607,8,2024,39,23,0,0,23,0,0,1595,457,11,0,576,171,229,0,12,438,431,0,224,160,300,79,26,56,120,97,98,0,29,0,137,0,23,999,173,0,23,1,600,26,92,17,131,278,0,143,0,3,18,1,81,5,33,23,2,9,0,0,67,36,10,2,8,15,2,21,6,19,40,8,0,18,4,0,32,2,2,14,0,5,1,142,50,3,14,40,20,5,5,5,10,21,0,24,2,9,0,18,21,3,2,1,0,0,0,2,1,1,0,0,0,2025-03-12
891,8,2024,12,26,0,0,84,0,0,1915,771,60,0,1015,395,208,0,64,753,730,0,436,200,388,152,41,27,183,91,117,0,31,0,354,0,26,1663,181,0,98,13,1038,28,79,15,91,412,0,267,0,3,21,0,102,0,24,14,0,2,0,0,8,7,27,10,153,5,2,4,4,28,31,8,0,5,15,0,7,1,0,53,0,1,4,157,24,3,12,77,14,0,0,5,11,11,0,17,2,2,2,2,49,0,0,1,0,0,0,54,0,0,0,0,0,2025-03-12
492,8,2024,3,1,0,0,1,0,0,45,18,1,0,21,16,4,0,2,18,16,0,10,1,2,3,2,3,2,8,0,0,0,0,2,0,1,23,1,0,2,1,21,0,1,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
889,8,2024,16,13,0,0,15,0,0,1018,485,12,0,519,399,73,0,35,474,469,0,185,19,86,43,16,28,30,173,36,0,19,0,145,0,13,642,45,0,27,7,530,17,21,12,37,54,0,45,0,2,12,0,24,0,0,0,0,1,0,0,6,4,1,0,2,0,2,0,0,11,1,3,0,4,5,0,0,0,0,12,0,0,2,27,3,0,0,20,0,0,0,1,4,4,0,11,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
888,8,2024,5,19,0,0,37,0,0,1011,304,21,0,396,160,88,0,18,298,298,0,200,80,149,79,6,6,63,109,44,0,16,0,15,0,19,682,82,0,40,0,404,13,39,1,44,194,0,100,0,3,11,0,43,0,3,9,0,3,0,0,9,2,20,5,78,0,0,0,2,8,20,6,0,2,4,1,0,0,1,6,0,0,2,80,22,0,5,26,6,0,0,8,2,11,0,11,0,0,0,0,18,0,0,1,0,0,0,20,0,0,0,0,0,2025-03-12
794,8,2024,13,26,0,0,64,0,0,1824,770,43,0,948,467,217,0,46,752,733,0,409,129,306,125,37,47,135,190,124,0,26,0,183,0,26,1534,170,0,87,6,969,24,80,34,93,318,0,199,0,2,21,0,90,0,6,15,0,2,0,1,19,5,17,3,181,1,1,0,0,18,17,5,0,1,5,0,0,1,0,36,0,0,5,187,41,0,3,54,12,0,0,5,10,24,0,24,5,0,0,4,36,0,0,2,0,0,0,36,0,0,0,0,0,2025-03-12
77,8,2024,15,26,0,0,63,0,1,2236,1326,51,0,1435,969,84,0,116,1290,1270,0,568,74,357,106,56,41,87,302,59,1,29,2,533,0,26,1742,43,0,76,21,1476,26,10,26,25,161,0,150,0,3,25,0,33,0,6,0,0,1,0,0,17,8,0,0,3,0,0,0,0,9,0,1,0,6,21,0,0,0,0,31,0,0,9,73,3,0,0,26,0,0,0,1,2,8,0,4,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
502,8,2024,0,6,0,0,0,0,0,83,56,0,0,61,30,13,0,0,56,54,0,13,3,26,3,2,0,5,13,6,0,1,0,17,0,6,80,13,0,2,0,61,1,7,0,7,14,0,5,0,0,0,0,6,0,0,0,0,1,0,0,3,2,0,0,0,0,1,0,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,18,2,0,0,6,0,0,0,6,1,0,0,4,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2025-03-12
207,8,2024,37,25,0,0,9,0,0,1317,341,4,0,460,102,154,0,14,328,326,0,175,126,240,47,15,84,124,83,79,0,16,0,98,0,25,643,70,0,11,3,474,15,38,47,75,181,0,133,0,1,17,2,32,3,22,9,2,5,1,0,49,20,4,1,3,9,1,0,0,7,4,16,0,8,0,0,0,1,23,3,0,5,0,118,23,1,1,17,7,3,4,8,6,9,1,10,2,0,0,12,10,4,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
496,8,2024,1,20,0,0,7,0,0,1638,228,1,0,293,56,232,0,2,202,220,0,77,101,177,87,8,4,84,86,93,0,26,0,79,0,20,846,228,0,12,0,319,25,138,3,139,350,0,91,0,1,19,4,90,6,25,46,3,20,2,0,129,65,22,5,3,29,6,0,11,8,22,8,0,20,0,0,0,5,4,7,1,13,3,77,120,4,5,18,41,10,12,1,11,31,6,20,1,0,0,45,10,6,6,3,0,0,0,0,2,2,1,1,0,2025-03-12
747,8,2024,11,20,0,0,6,0,0,919,189,4,0,269,70,97,0,4,188,183,0,71,66,122,46,6,14,76,23,36,0,15,0,104,0,20,455,83,0,27,3,271,12,50,3,61,152,0,82,0,3,12,0,33,0,11,21,0,5,0,0,33,14,9,3,11,5,2,2,2,8,11,12,0,6,1,0,4,2,4,4,0,1,0,73,38,0,3,16,6,1,1,8,3,11,0,6,1,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,1,2025-03-12
674,8,2024,19,22,0,0,39,0,0,1757,709,22,0,849,324,210,0,23,701,687,0,289,122,385,124,22,38,109,210,121,0,24,0,167,0,22,1178,172,0,34,2,857,21,70,19,89,230,0,148,0,3,19,0,102,1,20,16,0,3,0,0,28,7,8,0,3,1,4,0,0,22,8,6,0,4,3,0,0,3,13,39,0,2,6,191,32,1,0,51,8,2,2,3,15,44,1,22,2,0,0,3,29,1,1,1,1,0,0,0,0,0,0,0,0,2025-03-12
894,8,2024,19,23,0,0,9,0,0,938,116,5,0,180,47,101,0,10,103,111,0,51,67,70,20,5,48,68,51,48,0,17,0,30,0,23,358,53,0,11,0,193,13,34,29,53,152,0,77,0,4,8,0,19,3,6,13,6,6,0,0,63,26,1,1,1,3,2,0,0,4,1,8,1,8,0,1,0,1,11,2,0,4,0,61,24,0,1,5,5,5,5,15,3,9,0,6,1,0,0,18,1,1,4,1,0,0,0,0,0,0,0,0,2,2025-03-12
887,8,2024,1,5,0,0,2,0,0,34,13,1,0,18,3,10,0,0,12,12,0,10,6,10,3,1,1,4,5,4,0,0,0,2,0,5,31,9,0,2,0,19,0,5,0,6,12,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,3,0,0,0,5,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
495,8,2024,11,15,0,0,16,0,0,1020,176,10,0,295,38,96,0,6,176,168,0,104,119,144,42,8,24,103,53,46,0,17,0,98,0,15,506,72,0,21,2,295,16,39,13,50,199,0,119,0,1,12,1,33,1,19,6,1,6,0,0,57,27,21,6,7,9,0,0,0,6,21,8,0,11,1,1,0,0,6,2,0,2,0,40,23,1,6,18,11,4,4,3,4,4,2,10,0,0,0,16,12,3,1,0,0,0,0,4,0,0,0,0,1,2025-03-12
