player_id,team_id,season,through_balls,duels_ground,clearances_total,duels_aerial,passes_rightside,passess_opp_half_successful,interceptions,long_passess_successful,ground_duels_won,shots_total,launches_unsuccessful,passes_open_play,dribbles_successful,tackles_total,short_passes_unsuccessful,shots_off_target,passes_opposition_half_unsuccessful,long_passes_unsuccessful,goals_conceded_penalty,goals_conceded,dribbles_unsuccessful,foul_attempted_tackle,tackles_lost,successful_passes_total,goals_conceded_outside_box,appearances,key_passes,open_play_passes_successful,passes_unsuccessful,shots_blocked,fouls_conceded_total,clean_sheets,recoveries,aerial_duels_lost,passes_own_half_unsuccessful,touches,crossses_corners_unsuccessful,launches_successful,touches_total_opposition_box,sub_off,passes_total,overruns,starts,short_passes_successful,duels_lost,handballs_conceded,passess_leftside,sub_on,aerial_duels_won,loss_of_possession_total,passes_own_half_successful,tackled,minutes,duels_won,duels_ground_lost,open_play_crosses_unsuccessful,goals_conceded_inside_box,passes_backwards,shots_on_target,total_fouls_won,games_played,tackles_won,lay_offs_successful,corners_won,duels,passes_forward,goals_win,throw_ins_to_opposition_player,blocks,goals_left_foot,throw_ins_to_own_player,crosses_corners_successful,corners_into_box_successful,goals_inside_box,goals,crosses_open_play_successful,offsides,woodwork_hit,corners_taken,corners_into_box_unsuccessful,goals_home,goals_away,yellow_cards,goals_outside_box,goals_right_foot,assists,goals_head,red_cards_2nd_yellow,lay_offs_unsuccessful,penalty_goals,penalties_taken,red_cards_total,assists_intentional,penalties_conceded,last_player_tackle,goal_line_clearances,own_goals,saves_made_outside_box,gk_distribution_successful,saves_made_inside_box,punches,penalties_faced,catches,gk_smother,saves_made_caught,goalkicks_total,gk_distribution_unsuccessful,saves_made,drops,saves_made_parried,penalties_won,attempts_from_set_pieces,goals_set_piece,red_cards_straight,last_updated
382,6,2024,2,95,13,25,175,257,3,34,52,5,9,658,8,34,81,3,77,24,1,13,4,8,17,555,1,15,3,554,105,5,8,2,102,13,32,803,4,3,10,5,660,1,13,521,56,1,171,2,12,143,298,22,1078,64,43,4,12,107,2,10,15,17,6,3,120,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
909,6,2024,2,63,2,13,39,75,7,2,20,16,2,137,8,11,44,12,67,8,2,15,22,3,4,89,0,21,5,85,52,2,7,0,24,7,14,316,29,1,34,6,141,3,6,87,50,1,28,15,6,143,21,28,535,26,43,20,15,30,4,1,21,7,2,7,76,44,0,1,1,1,2,7,3,1,1,4,1,1,13,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
667,6,2024,3,48,4,23,69,170,4,5,27,4,4,355,3,18,48,2,43,4,2,14,6,1,2,313,1,20,3,303,52,1,3,0,38,12,13,471,4,1,9,6,365,1,8,308,33,0,96,12,11,94,143,15,687,38,21,3,13,102,2,6,20,16,6,4,71,98,0,0,3,0,3,0,0,0,1,0,1,0,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
426,6,2024,0,101,27,126,130,219,11,9,52,40,16,483,9,24,147,25,154,23,3,31,8,10,8,332,5,25,11,313,170,11,26,1,72,42,31,783,15,1,80,15,502,0,23,323,91,2,117,2,84,247,114,20,1808,136,49,15,26,123,15,22,25,16,20,7,227,132,1,3,2,1,2,1,0,8,8,1,9,3,0,0,6,2,0,0,6,1,1,1,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
150,6,2024,0,60,60,15,425,247,16,84,37,1,41,965,6,26,59,1,114,84,5,28,0,6,12,869,3,21,9,836,143,0,8,2,94,6,51,1213,22,21,1,5,1012,0,17,785,29,0,124,4,9,175,633,2,1497,46,23,4,25,84,0,5,21,14,0,3,75,379,0,1,8,0,3,11,9,0,0,0,0,0,24,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
661,6,2024,1,29,8,10,55,51,12,3,19,3,8,140,5,10,27,1,33,14,0,3,4,2,4,101,0,9,4,100,41,2,5,0,21,5,13,239,5,1,10,3,142,1,3,98,15,0,3,6,5,66,51,5,275,24,10,5,3,28,2,4,9,6,0,2,39,56,0,9,0,0,19,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,6,2024,0,21,19,5,29,54,11,9,13,1,22,315,2,7,23,1,32,30,1,8,0,2,2,278,0,6,1,266,53,1,3,1,29,3,22,399,1,2,5,0,331,0,5,269,11,0,124,1,2,60,224,1,495,15,8,1,8,48,0,4,6,5,0,0,26,130,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
487,6,2024,0,55,69,31,247,209,22,82,28,4,63,1158,1,22,77,3,129,108,2,30,1,12,11,997,2,21,4,975,185,2,15,5,85,15,56,1372,0,26,12,3,1182,0,19,915,42,0,493,2,16,208,789,6,1700,44,27,0,28,67,1,6,21,11,0,1,86,375,0,0,10,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
369,6,2024,0,47,4,11,17,91,9,1,23,3,3,171,6,13,41,2,37,3,1,12,6,1,4,133,1,10,11,127,44,3,6,0,20,9,12,285,5,1,26,4,177,0,8,132,33,0,48,2,2,82,49,12,717,25,24,5,11,65,1,4,10,9,2,8,58,47,0,0,2,0,3,7,0,0,0,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
660,6,2024,0,2,13,7,183,31,0,98,2,0,84,513,0,0,7,0,70,143,2,24,0,0,0,544,2,18,0,434,150,0,0,3,139,0,80,879,0,45,0,1,694,0,18,446,0,0,189,0,7,156,513,0,1590,9,0,0,22,0,0,3,18,0,0,0,9,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,147,37,1,2,20,2,2,105,39,61,2,7,0,0,0,0,2025-03-12
153,6,2024,2,118,10,19,169,277,15,17,69,10,12,608,13,32,92,4,106,37,3,29,6,7,14,489,2,18,20,479,129,5,12,2,107,9,30,829,7,1,27,4,618,1,17,472,58,0,119,1,10,190,215,24,1400,79,49,7,27,123,6,25,18,18,4,5,137,207,0,0,5,0,1,3,0,0,0,3,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025-03-12
752,6,2024,0,25,9,10,36,71,10,9,12,0,6,184,1,10,28,0,32,7,2,11,0,2,4,151,1,7,4,149,35,1,9,0,12,1,10,308,7,4,5,5,186,0,6,142,14,1,34,1,9,56,81,3,477,21,13,7,10,43,0,1,7,6,2,1,35,73,0,5,0,0,61,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
793,6,2024,0,64,41,24,164,150,25,38,40,6,46,569,10,28,78,5,111,71,2,23,8,3,14,428,1,19,4,421,149,4,4,2,51,9,62,890,24,13,11,4,577,1,12,390,33,0,79,7,15,233,282,14,1185,55,24,18,22,77,1,2,19,14,0,7,88,257,0,26,10,0,56,4,0,0,0,4,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
678,6,2024,2,139,28,32,124,203,22,15,76,11,4,501,2,47,74,9,62,10,2,19,2,17,19,424,2,20,7,419,84,0,27,2,75,11,25,738,3,5,14,5,508,1,13,409,74,0,118,7,21,116,221,15,1177,97,63,3,17,121,2,29,20,28,7,2,171,145,0,1,9,0,1,0,0,0,0,0,2,1,0,0,0,0,8,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
49,6,2024,0,102,54,17,24,348,27,43,64,7,54,763,12,33,84,4,203,82,3,32,9,4,17,638,2,19,31,609,166,4,13,4,97,3,53,1348,90,18,18,0,804,0,19,595,41,2,334,0,14,305,329,15,1710,78,38,63,30,173,3,20,19,16,0,9,119,273,0,12,3,0,174,39,24,2,2,15,2,1,51,22,0,2,4,0,2,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
721,6,2024,4,121,23,93,74,168,3,5,52,27,2,317,9,26,94,12,81,5,3,24,12,8,11,230,1,18,17,218,99,10,15,2,35,43,24,596,6,1,79,7,329,3,17,225,112,0,73,1,50,184,63,37,1509,102,69,6,23,77,15,19,18,15,13,5,214,105,0,0,4,1,2,1,0,3,3,1,2,1,0,0,0,3,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2025-03-12
662,6,2024,0,3,4,4,75,18,0,62,1,0,39,210,0,0,4,0,33,69,3,20,0,2,0,239,1,9,0,168,73,0,2,1,72,0,40,386,0,21,2,0,312,0,8,177,2,0,96,1,4,73,221,0,750,5,2,0,19,0,0,2,9,0,0,0,7,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,89,16,1,3,6,0,1,71,14,29,1,7,0,0,0,0,2025-03-12
553,6,2024,0,64,15,9,76,127,13,11,29,6,13,344,1,27,66,3,64,18,1,20,1,4,8,262,2,15,3,260,84,1,14,0,46,7,21,453,1,3,6,11,346,0,12,251,42,0,80,3,2,105,135,12,895,31,35,1,18,67,3,1,15,19,3,1,73,123,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
907,6,2024,5,192,16,49,283,554,8,34,87,32,13,1063,25,35,150,14,154,25,5,32,32,8,12,931,3,26,31,891,175,11,23,0,152,34,50,1495,29,0,67,11,1106,3,22,897,139,5,211,4,15,327,386,75,2047,102,105,15,29,315,18,27,26,23,25,16,241,297,0,0,0,0,12,9,2,1,3,4,2,1,6,3,0,3,1,2,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2025-03-12
500,6,2024,2,97,10,28,89,171,12,8,45,28,8,335,6,25,80,12,107,16,5,28,11,8,9,239,2,23,15,239,96,8,15,0,60,14,16,582,27,3,54,17,335,1,18,231,66,3,48,5,14,183,75,31,1348,59,52,27,26,112,16,14,23,16,14,16,125,86,1,0,2,1,3,7,0,1,2,7,7,2,0,0,1,1,1,1,1,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-12
335,6,2024,0,143,16,55,45,166,16,15,72,17,28,396,23,25,103,12,139,41,4,23,19,8,7,267,0,23,9,252,144,8,14,1,60,31,43,790,38,7,43,5,411,1,11,252,102,0,103,12,24,263,113,44,1170,96,71,37,23,100,5,24,23,18,5,7,198,163,1,11,2,1,39,12,1,3,3,11,6,2,2,1,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
690,6,2024,0,12,11,7,10,21,4,1,9,0,2,91,1,4,6,0,8,4,0,5,0,0,1,83,0,5,0,82,10,1,1,0,8,2,2,128,0,0,0,0,93,0,2,82,5,0,36,3,5,12,62,2,211,14,3,0,5,12,0,4,5,3,0,0,19,35,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,6,2024,0,4,0,0,3,4,1,0,0,0,1,15,0,0,3,0,1,2,0,2,2,0,0,10,0,2,0,10,5,0,0,0,4,0,4,27,0,0,0,1,15,0,1,10,4,0,4,1,0,7,6,2,64,0,4,0,2,2,0,0,2,0,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
563,6,2024,1,115,82,42,305,326,38,60,77,2,59,1212,6,52,131,2,169,105,3,32,2,10,20,998,2,26,6,978,236,4,17,4,113,16,83,1643,16,19,5,8,1234,0,22,938,54,0,282,4,26,299,675,7,1936,103,38,15,30,133,0,19,26,32,0,3,157,514,0,18,16,0,70,3,0,0,0,3,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
