player_id,team_id,season,open_play_crosses_unsuccessful,minutes,clearances_total,goals_conceded_inside_box,long_passess_successful,passes_unsuccessful,foul_attempted_tackle,games_played,tackles_lost,sub_on,passes_rightside,throw_ins_to_own_player,duels_won,duels_lost,lay_offs_successful,successful_passes_total,tackled,offsides,tackles_total,goals_conceded,touches_total_opposition_box,appearances,duels,passes_own_half_successful,dribbles_unsuccessful,passes_own_half_unsuccessful,goals_conceded_outside_box,duels_ground,goals_inside_box,short_passes_unsuccessful,shots_off_target,goals_other,passes_opposition_half_unsuccessful,tackles_won,aerial_duels_won,ground_duels_won,total_fouls_won,loss_of_possession_total,passes_backwards,shots_on_target,corners_won,touches,duels_aerial,passes_open_play,fouls_conceded_total,passes_total,passess_opp_half_successful,lay_offs_unsuccessful,handballs_conceded,long_passes_unsuccessful,duels_ground_lost,shots_blocked,key_passes,open_play_passes_successful,dribbles_successful,recoveries,blocks,sub_off,aerial_duels_lost,shots_total,crossses_corners_unsuccessful,interceptions,launches_unsuccessful,short_passes_successful,passess_leftside,starts,goals,passes_forward,goals_home,goals_away,goals_win,launches_successful,goals_left_foot,saves_made,saves_made_outside_box,gk_distribution_successful,saves_made_inside_box,gk_distribution_unsuccessful,saves_made_parried,goalkicks_total,crosses_open_play_successful,crosses_corners_successful,assists_intentional,assists,yellow_cards,woodwork_hit,through_balls,overruns,clean_sheets,throw_ins_to_opposition_player,corners_taken,corners_into_box_successful,goals_outside_box,corners_into_box_unsuccessful,goals_conceded_penalty,goals_right_foot,goals_head,penalties_conceded,own_goals,attempts_from_set_pieces,red_cards_straight,red_cards_total,penalties_off_target,penalties_taken,penalty_goals,drops,gk_smother,punches,penalties_faced,saves_made_caught,crosses_not_claimed,catches,goals_set_piece,last_updated
699,16,2024,7,567,2,10,2,29,4,14,3,10,24,2,23,35,9,80,20,1,8,11,30,14,58,23,4,4,1,50,1,28,4,1,32,5,3,20,8,89,38,5,5,229,8,97,7,109,57,1,1,1,30,3,5,68,4,18,1,4,5,9,7,5,1,78,24,4,1,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
901,16,2024,0,145,2,0,1,11,0,6,3,4,16,0,10,16,4,53,7,0,5,0,5,6,26,21,3,3,0,22,0,10,0,0,8,2,2,8,2,26,11,0,0,98,4,64,1,64,32,0,0,1,14,3,1,53,1,16,0,2,2,0,0,0,1,52,21,2,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
775,16,2024,4,446,2,11,0,32,4,10,3,5,25,3,29,29,2,98,14,1,17,11,25,10,58,32,5,9,0,58,1,29,3,0,27,14,0,29,8,63,38,4,4,231,0,130,8,130,66,0,0,3,29,8,3,98,4,24,0,4,0,7,4,1,1,98,26,5,1,41,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
688,16,2024,0,117,0,1,7,15,0,2,0,1,11,0,1,0,0,39,0,0,0,2,0,2,1,38,0,11,1,1,0,0,0,0,4,0,0,1,1,15,0,0,0,66,0,33,0,54,1,0,0,15,0,0,0,27,0,9,0,0,0,0,0,0,4,32,22,1,0,21,0,0,0,2,0,5,1,15,2,6,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
644,16,2024,2,263,4,2,0,23,6,14,4,12,12,0,23,36,0,42,8,3,6,2,24,14,59,11,2,4,0,34,0,23,3,0,21,2,9,14,5,48,19,1,1,134,25,62,10,65,32,0,1,0,20,3,3,39,3,12,0,2,16,4,2,0,0,42,22,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
825,16,2024,6,626,3,5,3,46,9,17,4,10,51,1,31,62,5,113,19,12,6,6,50,17,93,32,6,5,1,55,2,43,8,0,47,2,16,15,5,104,48,9,7,281,38,152,17,159,84,3,0,3,40,5,7,106,4,22,3,6,22,17,6,0,2,110,33,7,2,27,0,2,0,0,2,0,0,0,0,0,0,0,3,3,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,16,2024,29,639,3,11,5,50,4,10,7,3,49,7,47,35,5,166,28,1,15,12,54,10,82,47,13,8,1,79,1,49,3,0,79,8,2,45,7,139,58,6,14,415,3,209,4,216,130,1,0,1,34,5,9,159,23,31,0,4,1,9,37,2,0,161,63,7,2,46,0,2,1,0,2,0,0,0,0,0,0,0,7,11,2,3,0,1,0,4,0,1,19,5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
28,16,2024,5,1558,22,17,24,146,13,23,15,5,177,3,86,49,12,596,10,0,38,19,21,23,135,297,1,45,2,109,0,109,8,0,106,23,13,73,31,179,143,3,1,974,26,739,18,742,302,0,1,37,36,2,10,593,5,99,4,8,13,11,5,31,25,572,148,18,0,274,0,0,0,5,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
246,16,2024,1,1935,65,24,86,212,5,22,11,1,205,9,50,42,0,1050,2,1,24,26,16,22,92,727,0,84,2,46,3,96,3,0,130,13,18,32,7,223,80,4,0,1459,46,1204,9,1262,323,0,1,116,14,0,4,1003,1,108,19,0,28,7,2,23,41,964,455,21,3,522,2,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
237,16,2024,34,1419,11,24,10,138,7,24,4,7,110,9,58,60,10,343,26,2,19,25,51,24,118,157,10,43,1,90,3,106,13,0,131,15,12,46,16,232,117,7,4,754,28,480,11,481,197,2,1,32,44,8,13,342,11,72,2,15,16,20,36,14,19,333,89,17,3,165,3,0,0,1,1,0,0,0,0,0,0,0,9,11,1,1,0,1,1,1,0,3,3,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
776,16,2024,0,90,4,0,3,10,0,1,0,0,4,0,0,1,0,23,0,0,0,0,0,1,1,19,0,4,0,0,0,2,0,0,6,0,0,0,0,11,4,0,0,39,1,31,0,33,4,0,0,8,0,0,0,21,0,1,1,0,1,0,0,0,6,20,6,1,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
