player_id,team_id,season,woodwork_hit,passess_leftside,passes_forward,passes_own_half_successful,minutes,passess_opp_half_successful,appearances,passes_opposition_half_unsuccessful,tackles_lost,duels_lost,loss_of_possession_total,passes_total,passes_unsuccessful,goals_inside_box,clearances_total,short_passes_successful,successful_passes_total,goals_outside_box,starts,crossses_corners_unsuccessful,duels_ground,ground_duels_won,clean_sheets,sub_on,goals_conceded,tackles_total,lay_offs_successful,lay_offs_unsuccessful,duels_aerial,crosses_open_play_successful,passes_backwards,passes_rightside,duels_won,total_fouls_won,launches_unsuccessful,dribbles_successful,aerial_duels_won,crosses_corners_successful,passes_own_half_unsuccessful,dribbles_unsuccessful,sub_off,goals_conceded_outside_box,touches_total_opposition_box,tackles_won,key_passes,overruns,open_play_crosses_unsuccessful,yellow_cards,passes_open_play,goals,touches,long_passess_successful,goals_conceded_penalty,duels_ground_lost,foul_attempted_tackle,short_passes_unsuccessful,fouls_conceded_total,goals_right_foot,interceptions,shots_on_target,shots_blocked,corners_won,throw_ins_to_own_player,blocks,goals_conceded_inside_box,long_passes_unsuccessful,recoveries,duels,shots_total,games_played,aerial_duels_lost,tackled,open_play_passes_successful,shots_off_target,offsides,goals_home,goals_away,goals_win,corners_taken,throw_ins_to_opposition_player,last_player_tackle,launches_successful,corners_into_box_successful,corners_into_box_unsuccessful,goal_line_clearances,handballs_conceded,goalkicks_total,goals_head,assists,through_balls,assists_intentional,gk_distribution_successful,penalties_conceded,punches,saves_penalty,gk_distribution_unsuccessful,gk_smother,saves_made,penalties_saved,penalties_faced,saves_made_inside_box,saves_made_parried,drops,catches,saves_made_caught,saves_made_outside_box,attempts_from_set_pieces,goals_left_foot,penalties_won,penalty_goals,goals_set_piece,penalties_taken,last_updated
606,12,2024,1,49,27,99,1674,92,24,42,2,86,150,232,44,1,9,184,188,1,18,11,102,31,2,6,30,7,12,5,21,3,106,50,37,9,2,15,6,3,13,21,8,3,60,5,14,2,11,2,189,2,462,4,6,71,8,38,18,2,1,13,8,12,1,4,27,6,40,123,31,24,15,45,146,18,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
917,12,2024,1,128,284,196,1321,201,21,108,21,52,273,561,168,0,31,379,393,0,14,10,123,75,3,7,15,51,0,0,7,2,73,76,78,14,40,11,3,4,70,10,6,2,8,30,12,1,9,1,550,0,978,14,3,48,4,112,4,0,19,1,2,5,116,6,13,56,93,130,1,21,4,31,384,0,0,0,0,0,3,28,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
672,12,2024,0,48,77,99,477,79,11,29,8,40,72,226,48,0,10,170,178,0,5,0,63,33,1,6,10,20,5,0,20,0,50,51,43,11,1,2,10,0,19,2,2,0,7,12,1,1,0,2,226,0,333,8,4,30,11,44,17,0,10,2,3,0,0,0,10,4,45,83,3,11,10,11,178,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
498,12,2024,0,573,502,923,2340,282,26,115,11,60,216,1396,191,2,154,1133,1205,0,26,2,85,54,5,0,40,37,0,0,61,0,118,203,86,14,42,4,32,0,78,0,0,5,14,26,4,0,2,3,1339,2,1756,72,6,31,11,109,22,0,36,5,1,2,11,31,35,82,108,146,11,26,29,2,1153,6,0,1,1,1,0,2,1,22,0,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
336,12,2024,0,21,32,33,135,21,2,17,2,5,22,71,17,0,2,51,54,0,2,3,8,6,0,0,3,2,0,0,5,0,17,1,8,3,1,1,2,0,3,0,1,0,0,0,0,1,3,0,70,0,100,3,0,2,1,14,1,0,0,0,1,1,11,1,3,3,7,13,0,2,3,1,53,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
916,12,2024,0,59,187,247,894,82,12,60,20,43,133,439,111,0,40,303,328,0,10,2,93,55,1,2,22,39,0,0,14,1,27,166,64,9,34,7,9,1,53,1,2,2,6,19,1,0,2,3,408,0,621,25,4,38,5,58,16,0,19,0,1,2,14,12,20,53,33,107,1,12,5,7,305,1,0,0,0,0,0,5,0,7,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
910,12,2024,1,89,128,192,1537,142,23,74,15,73,163,441,107,1,11,323,334,0,17,9,98,45,1,6,29,33,13,1,30,0,130,94,55,10,9,2,10,0,42,8,11,3,21,18,11,0,9,4,440,1,631,11,4,53,18,90,21,1,9,6,8,6,0,7,26,17,63,128,12,23,20,17,334,6,3,1,0,0,0,0,0,4,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,12,2024,0,18,29,33,209,27,4,13,2,13,38,79,20,0,0,59,59,0,2,2,23,11,1,2,3,9,3,0,1,1,12,20,11,1,1,1,0,1,9,3,1,1,3,7,1,0,2,0,76,0,123,0,0,12,3,18,4,0,2,2,1,0,0,0,2,2,15,24,5,4,1,8,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
651,12,2024,0,1,1,1,2,1,2,0,0,2,2,3,1,0,0,2,2,0,0,0,3,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,5,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
912,12,2024,0,122,216,168,1107,168,13,104,11,52,233,460,126,1,21,311,334,0,13,27,90,47,2,0,19,29,0,0,12,2,104,18,50,7,17,11,3,2,49,13,1,0,17,18,10,2,27,1,449,1,826,23,4,43,7,98,14,1,26,2,1,9,123,2,19,28,58,102,4,13,9,22,323,2,1,0,1,0,0,33,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
