player_id,team_id,season,launches_unsuccessful,crosses_open_play_successful,total_fouls_won,passes_own_half_successful,long_passess_successful,handballs_conceded,woodwork_hit,minutes,passess_leftside,duels_aerial,passes_open_play,goals_right_foot,appearances,corners_won,shots_on_target,passes_total,short_passes_unsuccessful,starts,long_passes_unsuccessful,games_played,assists,lay_offs_successful,aerial_duels_lost,passess_opp_half_successful,clearances_total,foul_attempted_tackle,goals_inside_box,goals_conceded_outside_box,dribbles_unsuccessful,launches_successful,overruns,shots_off_target,tackles_total,tackles_won,duels_ground_lost,dribbles_successful,shots_blocked,fouls_conceded_total,tackles_lost,passes_unsuccessful,successful_passes_total,duels_ground,duels_won,aerial_duels_won,yellow_cards,throw_ins_to_own_player,offsides,sub_off,goals,open_play_crosses_unsuccessful,duels_lost,loss_of_possession_total,crosses_corners_successful,passes_forward,sub_on,passes_own_half_unsuccessful,short_passes_successful,through_balls,goals_left_foot,goals_conceded_penalty,passes_backwards,touches_total_opposition_box,goals_conceded,shots_total,crossses_corners_unsuccessful,tackled,penalties_won,corners_taken,interceptions,goals_conceded_inside_box,goals_outside_box,open_play_passes_successful,duels,key_passes,corners_into_box_unsuccessful,passes_rightside,ground_duels_won,recoveries,touches,lay_offs_unsuccessful,passes_opposition_half_unsuccessful,assists_intentional,attempts_from_set_pieces,goals_home,goals_away,goals_win,goalkicks_total,gk_distribution_successful,corners_into_box_successful,blocks,penalties_conceded,own_goals,clean_sheets,throw_ins_to_opposition_player,penalty_goals,assists_second,penalties_taken,last_player_tackle,goals_head,saves_penalty,drops,saves_made_inside_box,catches,saves_made_caught,red_cards_total,gk_smother,saves_made_parried,gk_distribution_unsuccessful,saves_made,punches,penalties_saved,red_cards_straight,saves_made_outside_box,penalties_faced,goal_line_clearances,last_updated
920,9,2024,4,3,26,136,14,1,2,1389,91,10,420,1,17,12,10,442,101,16,11,17,10,17,7,201,10,8,4,3,34,1,2,9,30,21,79,18,16,11,9,112,330,153,77,3,1,1,4,13,5,7,86,228,7,147,1,33,316,9,4,2,115,47,17,19,13,55,1,3,9,14,1,310,163,24,3,89,74,85,729,3,92,8,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
782,9,2024,0,0,0,4,1,0,0,1,2,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
919,9,2024,9,3,5,100,1,0,0,987,61,12,279,1,25,11,7,282,46,11,12,25,0,7,8,128,8,4,0,3,9,1,2,6,38,25,64,7,12,16,13,58,224,114,54,4,0,4,1,9,1,4,72,140,4,63,14,19,223,0,0,0,89,34,7,13,10,43,0,10,12,4,1,221,126,9,6,69,50,58,500,1,49,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
827,9,2024,44,0,8,802,66,0,0,1919,222,39,1193,0,25,1,1,1261,101,21,70,25,0,0,15,288,85,9,0,5,2,15,1,0,36,20,36,0,1,21,16,171,1090,80,68,24,3,0,0,2,0,2,51,195,0,511,4,83,1024,1,0,2,66,10,24,1,2,6,0,3,30,19,0,1028,119,5,0,462,44,89,1492,0,90,0,0,0,0,0,12,12,0,8,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
NA,9,2024,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
784,9,2024,68,9,10,404,47,1,0,2213,255,36,996,0,29,12,2,1033,159,24,111,29,2,1,22,368,53,12,0,4,13,19,0,3,78,48,87,10,5,27,30,270,763,185,112,14,3,218,1,4,0,39,109,456,9,522,5,107,716,3,0,3,140,22,25,5,40,39,0,4,35,21,0,731,221,29,1,116,98,92,1725,0,203,2,0,0,0,0,0,0,0,6,1,0,7,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
294,9,2024,4,1,22,136,7,1,2,1736,93,92,456,5,27,12,24,479,116,19,13,27,3,17,48,216,16,4,5,2,9,0,2,18,21,14,66,9,7,18,7,129,350,117,95,44,0,1,5,14,7,9,114,252,2,145,8,25,343,1,2,3,149,68,19,42,11,44,0,4,5,17,2,327,209,16,2,92,51,70,790,3,115,1,0,5,2,3,0,0,1,2,0,0,1,6,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
582,9,2024,1,0,0,16,0,0,0,70,4,1,35,0,2,0,0,35,5,0,2,2,0,0,1,12,6,0,0,0,2,0,0,0,0,0,4,1,0,0,0,7,28,5,1,0,0,6,0,1,0,0,5,15,0,12,2,2,28,0,0,0,5,0,0,0,0,3,0,0,2,0,0,28,6,0,0,14,1,4,61,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
923,9,2024,17,1,22,576,71,1,1,2409,276,62,1272,1,28,4,6,1274,173,26,52,28,0,11,33,474,35,27,3,5,11,5,0,8,73,52,81,19,6,38,21,225,1049,194,142,29,8,8,0,4,3,6,114,313,1,379,2,81,978,3,1,2,213,29,26,14,6,29,0,0,27,21,0,1047,256,16,0,406,113,166,1670,2,150,0,0,2,1,0,0,0,0,12,0,0,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
182,9,2024,57,0,6,745,99,1,0,2669,279,4,633,0,29,0,0,951,10,29,160,29,0,0,1,36,19,1,0,5,0,22,0,1,2,1,0,0,0,1,1,170,781,8,11,3,0,0,0,0,0,0,1,176,0,396,0,104,682,0,0,3,0,1,31,1,0,0,0,0,0,26,0,580,12,1,0,276,8,230,1186,0,66,0,0,0,0,0,193,227,0,0,0,0,7,0,0,0,0,1,0,2,2,50,20,2,1,3,10,60,81,9,2,1,31,5,0,3/12/25
