player_id,player_first_name,player_last_name,player_short_first_name,player_short_last_name,player_match_name,player_nationality,player_position,player_place_of_birth,player_known_name,last_updated
1,Angela Marguerite,Salem,Angela,Salem,A. Salem,USA,Midfielder,Akron,NA,2/6/23
2,Louise,Schillgard,Louise,Schillgard,L. Schillgard,Sweden,Midfielder,Stockholm,NA,2/6/23
3,Natasha Khalila,Dowie,Natasha,Dowie,N. Dowie,England,Attacker,Abu Dhabi,NA,2/6/23
4,Kyah Pam,Simon,Kyah,Simon,K. Simon,Australia,Attacker,Blacktown,NA,2/6/23
5,Kylie Allyssa,Strom,Kylie,Strom,K. Strom,USA,Defender,Endicott,NA,4/4/24
6,Ghoutia,Karchouni,Ghoutia,Karchouni,G. Karchouni,France,Midfielder,Lyon,NA,2/6/23
7,Whitney Elizabeth,Engen,Whitney,Engen,W. Engen,USA,Defender,Torrance,NA,2/6/23
8,Katie,Schoepfer,Katie,Schoepfer,K. Schoepfer,USA,Midfielder,Waterford,NA,2/6/23
9,Brittany Margaret,Ratcliffe,Brittany,Ratcliffe,B. Ratcliffe,USA,Attacker,Williamstown,NA,4/4/24
10,Elise,Krieghoff,NA,NA,E. Krieghoff,USA,Attacker,Fresno,NA,2/6/23
11,Kristen Anne,Mewis,Kristie,Mewis,K. Mewis,USA,Midfielder,Hanson,NA,9/3/23
12,Stephanie,Verdoia,NA,NA,S. Verdoia,USA,Midfielder,Salt Lake City,NA,2/6/23
13,Rachel,Wood,NA,NA,R. Wood,USA,Defender,Laguna Niguel,NA,2/6/23
14,Morgan,Marlborough,NA,NA,M. Marlborough,USA,Attacker,Lee's Summit,NA,2/6/23
15,Abigail Mackenzie,Smith,Abby,Smith,A. Smith,USA,Goalkeeper,Plano,NA,4/4/24
16,Elizabeth,Stout,NA,NA,E. Stout,USA,Goalkeeper,Louisville,NA,2/6/23
17,Sinead Louise,Farrelly,Sinead,Farrelly,S. Farrelly,Republic of Ireland,Midfielder,Havertown,NA,4/4/24
18,Eunice,Beckmann,NA,NA,E. Beckmann,Germany,Attacker,Wuppertal,NA,2/6/23
19,Julie,O'Toole King,Julie,King,J. King,USA,Defender,St. Louis,NA,2/6/23
20,Mollie Elizabeth,Pathman,NA,NA,M. Pathman,USA,Defender,Durham,NA,2/6/23
21,Brooke,Elby,Brooke,Elby,B. Elby,USA,Defender,Arcadia,NA,2/6/23
22,McCall RaNae,Zerboni,McCall,Zerboni,M. Zerboni,USA,Midfielder,Camarillo,NA,4/4/24
23,Kassey,Kallman,NA,NA,K. Kallman,USA,Defender,Woodbury,NA,2/6/23
24,Stephanie,McCaffrey,NA,NA,S. McCaffrey,USA,Attacker,Winchester,NA,2/6/23
25,Jami-Ann,Kranich,NA,NA,J. Kranich,USA,Goalkeeper,Hamden,NA,2/6/23
26,Christen Joan,Westphal,Christen,Westphal,C. Westphal,USA,Defender,Brecksville,NA,4/4/24
27,Adrienne Leigh,Jordan,Adrienne,Jordan,A. Jordan,USA,Defender,NA,NA,2/6/23
28,Danielle Jessica,Colaprico,Danielle,Colaprico,D. Colaprico,USA,Midfielder,Freehold Township,NA,4/4/24
29,Madison,Krauser,NA,NA,M. Krauser,USA,Midfielder,Georgia,NA,2/6/23
30,Michele,Dalton,NA,NA,M. Dalton,USA,Goalkeeper,Mount Prospect,NA,2/6/23
31,Kassidy,Brown,NA,NA,K. Brown,USA,Defender,NA,NA,2/6/23
32,Casey Marie,Krueger,Casey,Krueger,C. Krueger,USA,Defender,Naperville,NA,4/4/24
33,Giuleana,Lopez,NA,NA,G. Lopez,USA,Attacker,NA,NA,2/6/23
34,Samantha,Martel Johnson,Samantha,Johnson,S. Johnson,USA,Defender,Palmdale,NA,2/6/23
35,Courtney,Raetzman,NA,NA,C. Raetzman,USA,Midfielder,NA,NA,2/6/23
36,Kathleen Camille,Lind,Katie,Lind,K. Lind,USA,Defender,Elk Grove Village,NA,4/4/24
37,Olivia,Pappalardo,NA,NA,O. Pappalardo,USA,Midfielder,NA,NA,2/6/23
38,Alyssa Lee,Mautz,Alyssa,Mautz,A. Mautz,USA,Midfielder,St. Louis,NA,2/6/23
39,Cara,Walls,NA,NA,C. Walls,USA,Attacker,Wauwatosa,NA,2/6/23
40,Jennifer,Hoy,Jennifer,Hoy,J. Hoy,USA,Attacker,Sellersville,NA,2/6/23
41,Amanda,DaCosta,Amanda Jaqueline,Da Costa,Amanda DaCosta,Portugal,Midfielder,Katonah,Amanda Da Costa,2/6/23
42,Christen Annemarie,Press,Christen,Press,C. Press,USA,Attacker,Los Angeles,NA,4/4/24
43,Janelle Kalyn,Flaws,NA,NA,J. Flaws,USA,Attacker,Glenview,NA,2/6/23
44,Alyssa Michele,Naeher,Alyssa,Naeher,A. Naeher,USA,Goalkeeper,Bridgeport,NA,4/4/24
45,Arin Hadley,Wright,Arin,Wright,A. Wright,USA,Defender,Wilmore,Arin Wright,4/4/24
46,Rebekah,Roller,NA,NA,R. Roller,USA,Midfielder,NA,NA,2/6/23
47,Vanessa Sue,DiBernardo,Vanessa,DiBernardo,V. DiBernardo,USA,Midfielder,"Naperville, IL",NA,4/4/24
48,Julie Beth,Ertz,Julie,Ertz,J. Ertz,USA,Midfielder,Mesa,NA,9/3/23
49,Sofia Christine,Huerta,Sofia,Huerta,S. Huerta,USA,Defender,Boise,NA,4/4/24
50,Brianna,Smallidge,NA,NA,B. Smallidge,USA,Goalkeeper,Bremerton,NA,2/6/23
51,Mary,Luba,NA,NA,M. Luba,USA,Midfielder,Shorewood,NA,2/6/23
52,Rosie Frances,Malone-Povolny,NA,NA,R. Povolny,USA,Midfielder,NA,NA,2/6/23
53,Sarah L.,Gorden,Sarah,Gorden,S. Gorden,USA,Defender,Elk Grove,NA,4/4/24
54,Taylor,Comeau,NA,NA,T. Comeau,USA,Midfielder,Los Gatos,NA,2/6/23
55,Shea Ellese,Groom,Shea,Groom,S. Groom,USA,Midfielder,Liberty,NA,4/4/24
56,McKenzie,Karas,NA,NA,M. Karas,USA,Defender,NA,NA,2/6/23
57,Nicole Renee,Barnhart,Nicole,Barnhart,N. Barnhart,USA,Goalkeeper,Pottstown,NA,4/4/24
58,Lauren,Sesselmann,Lauren,Sesselmann,L. Sesselmann,Canada,Defender,Marshfield,NA,2/6/23
59,Brittany Nicole,Kolmel,Brittany,Kolmel,B. Kolmel,USA,Defender,Campbell Hall,NA,2/6/23
60,Yael,Averbuch,NA,NA,Y. Averbuch,USA,Midfielder,New York City,NA,2/6/23
61,Desiree Rose Marie,Scott,Desiree,Scott,D. Scott,Canada,Midfielder,"Winnipeg, Manitoba",NA,4/4/24
62,Jen,Buczkowski,Jen,Buczkowski,J. Buczkowski,USA,Midfielder,Chicago,NA,2/6/23
63,Heather Ann,O'Reilly Werry,Heather,O'Reilly,H. O'Reilly,USA,Midfielder,East Brunswick,NA,2/6/23
64,Lo’eau Kaiulani,LaBonta,Lo'eau,LaBonta,L. LaBonta,USA,Midfielder,"Rancho Cucamonga, CA",NA,4/4/24
65,Tiffany Janea,McCarty,Tiffany,McCarty,T. McCarty,USA,Attacker,Laurel,NA,2/6/23
66,Catherine,Parkhill,NA,NA,C. Parkhill,USA,Goalkeeper,Apple Valley,NA,2/6/23
67,Brianne,Taylor Reed Pérez,Brianne,Reed,B. Reed,Dominican Republic,Defender,Tinton Falls,NA,2/6/23
68,Caroline,Kastor,NA,NA,C. Kastor,USA,Attacker,Wichita,NA,2/6/23
69,Frances,Silva,NA,NA,F. Silva,USA,Attacker,Overland Park,NA,2/6/23
70,Amanda,Paige Frisbie,Amanda,Frisbie,A. Frisbie,USA,Defender,Keller,NA,2/6/23
71,Tiffany,Weimer,Tiffany,Weimer,T. Weimer,USA,Midfielder,Bridgeport,NA,2/6/23
72,Kate Elizabeth,Bowen,Kate,Bowen,K. Bowen,New Zealand,Defender,Auckland,Katie Bowen,2/6/23
