team_id,team_name,team_name_short,team_club_name,team_abbreviation,first_season,last_season,external_team_id,last_updated
b8b7m094941l37s57ky5qydje,Boston Breakers,Boston Breakers,Boston Breakers,BOS,2016,2017,1,1/1/23
dzxypx8djih58p668surbi4qm,Chicago Red Stars,Chicago Red Stars,Chicago Red Stars,CHI,2016,2022,2,1/1/23
84o73tduvg052h5xf8fp1kfpe,FC Kansas City,FC Kansas City,FC Kansas City,KC,2016,2017,3,1/1/23
c3v2ohfuzoqmc8ljm65hi80sj,Houston Dash,Houston Dash,Houston Dash,HOU,2016,2022,4,1/1/23
bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,5,1/1/23
bl53jk6zlfe5f583pil7xzwi5,OL Reign,OL Reign,OL Reign,RGN,2016,2022,6,1/1/23
966pdxhsoxaib9qt5083h8uus,Orlando Pride,Orlando Pride,Orlando Pride,ORL,2016,2022,7,1/1/23
446mp88j1vpk9iwui9fiifrp8,Portland Thorns FC,Portland Thorns FC,Portland Thorns,POR,2016,2022,8,1/1/23
f1ks82wpiewyqs6h3oz9v4hzj,Washington Spirit,Washington Spirit,Washington Spirit,WAS,2016,2022,9,1/1/23
1e01hujrb8e4teqkouqsi6qqc,Western New York Flash,Western New York Flash,Western New York Flash,WNY,2016,2016,10,1/1/23
b4fbmos00gxtk8qnaqsm392p5,North Carolina Courage,North Carolina Courage,North Carolina Courage,NC,2017,2022,11,1/1/23
bn7w86uw8j61dga3xr5s0yiju,Utah Royals FC,Utah Royals FC,Utah Royals,UTA,2018,2020,12,1/1/23
agxipc0vk4rtg09amjxv10nx0,Kansas City Current,Kansas City Current,Kansas City Current,KCC,2021,2022,13,1/1/23
dtucewmt49th1p4selfutmnmc,Racing Louisville FC,Racing Louisville FC,Racing Louisville,LOU,2021,2022,14,1/1/23
6hbfgdczbi3yg4sdpqgtu6s,Angel City FC,Angel City FC,Angel City,LA,2022,2022,15,1/1/23
esvbnzqbyvxp2k570ez7h1a1g,San Diego Wave FC,San Diego Wave FC,San Diego Wave,SD,2022,2022,16,1/1/23
,Bay FC,Bay FC,Bay FC,BAY,2024,2024,17,
